vul_id,pkg_name,vul_introduced,vul_fixed,repo_url
GHSA-p6j9-7xhc-rhwp,urijs,0,1.19.6,https://github.com/medialize/URI.js
GHSA-9v62-24cr-58cx,node-sass,3.3.0,4.13.1,https://github.com/sass/node-sass
GHSA-mf22-92pm-m8p8,@awsui/components-react,0,3.0.367,https://github.com/aws/awsui-documentation/
GHSA-36rh-ggpr-j3gj,renovate,19.180.0,23.25.1,https://github.com/renovatebot/renovate
GHSA-gqf6-75v8-vr26,bin-links,0,1.1.5,
GHSA-jhq3-57xh-6643,flintcms,0,1.1.10,
GHSA-5c8j-xr24-2665,printer,0,0.0.2,https://github.com/tojocky/node-printer
GHSA-5xf4-f2fq-f69j,yarn,0,1.22.0,
GHSA-hf8c-xr89-vfm5,ungit,0,1.5.20,https://github.com/FredrikNoren/ungit
GHSA-c33w-pm52-mqvf,@dependencytrack/frontend,0,4.6.1,https://github.com/DependencyTrack/frontend
GHSA-g78m-2chm-r7qv,websocket-extensions,0,0.1.4,https://github.com/faye/websocket-extensions-node
GHSA-xw22-wv29-3299,node-etsy-client,0,0.3.0,
GHSA-5fw9-fq32-wv5p,node-notifier,0,8.0.1,
GHSA-fm93-fhh2-cg2c,min-dash,0,3.8.1,https://github.com/bpmn-io/min-dash
GHSA-2xwv-3cc9-fp7c,seneca,0,3.9.0,
GHSA-5w25-hxp5-h8c9,tenvoy,0,7.0.3,
GHSA-65p8-3hm4-h9h8,rgb2hex,0,0.1.6,
GHSA-qv66-f876-vjvr,skeemas,0,1.2.5,https://github.com/Prestaul/skeemas
GHSA-23cm-x6j7-6hq3,matrix-js-sdk,0,12.4.1,https://github.com/matrix-org/matrix-js-sdk
GHSA-mvjj-gqq2-p4hw,react-dom,16.0.0,16.0.1,
GHSA-mvjj-gqq2-p4hw,react-dom,16.1.0,16.1.2,
GHSA-mvjj-gqq2-p4hw,react-dom,16.2.0,16.2.1,
GHSA-mvjj-gqq2-p4hw,react-dom,16.3.0,16.3.3,
GHSA-mvjj-gqq2-p4hw,react-dom,16.4.0,16.4.2,
GHSA-6q8m-42qq-64r7,@zowe/imperative,5.0.0,5.7.1,https://github.com/zowe/imperative/
GHSA-6q8m-42qq-64r7,@zowe/imperative,0,4.18.10,https://github.com/zowe/imperative/
GHSA-g7mq-rfj2-25wq,total4,0,0.0.43,
GHSA-h9x2-5rm7-x4gm,secure-compare,0,3.0.1,
GHSA-rc3x-jf5g-xvc5,karma,0,6.3.16,https://github.com/karma-runner/karma
GHSA-qq89-hq3f-393p,tar,0,4.4.18,https://github.com/npm/node-tar
GHSA-qq89-hq3f-393p,tar,5.0.0,5.0.10,https://github.com/npm/node-tar
GHSA-qq89-hq3f-393p,tar,6.0.0,6.1.9,https://github.com/npm/node-tar
GHSA-xg59-m7wx-853q,node-red-dashboard,0,2.17.0,
GHSA-hgjh-723h-mx2j,url-parse,0,1.5.8,https://github.com/unshiftio/url-parse
GHSA-mf6x-hrgr-658f,eta,0,2.0.0,https://github.com/eta-dev/eta
GHSA-9m4x-8w29-r78g,@uppy/companion,0,1.13.2,
GHSA-9m4x-8w29-r78g,@uppy/companion,2.0.0-alpha.0,2.0.0-alpha.5,
GHSA-f78f-353m-cf4j,node-rules,3.0.0,5.0.0,
GHSA-5379-r78w-42h2,passport-saml,0,3.1.0,https://github.com/node-saml/passport-saml
GHSA-hpcf-8vf9-q4gj,jquery-ui,0,1.12.0,https://github.com/jquery/jquery-ui
GHSA-hpcf-8vf9-q4gj,jquery-ui-rails,0,6.0.0,https://github.com/jquery/jquery-ui
GHSA-wv8q-r932-8hc7,svelte,0,3.49.0,https://github.com/sveltejs/svelte
GHSA-q24h-5rq3-63j9,@uppy/companion,0,3.3.1,https://github.com/transloadit/uppy
GHSA-hxm2-r34f-qmc5,minimatch,0,3.0.2,
GHSA-m93v-9qjc-3g79,electron,0,7.2.4,
GHSA-m93v-9qjc-3g79,electron,8.0.0,8.2.4,
GHSA-wv26-rj8c-4r33,auth0-js,0,9.0.0,
GHSA-8w65-xjc5-9w79,node-red,0,0.20.8,
GHSA-4jqc-8m5r-9rpr,set-value,3.0.0,4.0.1,https://github.com/jonschlinkert/set-value
GHSA-4jqc-8m5r-9rpr,set-value-nuget,0,2.0.0,https://github.com/jonschlinkert/set-value
GHSA-4jqc-8m5r-9rpr,set-value,0,2.0.1,https://github.com/jonschlinkert/set-value
GHSA-vh95-rmgr-6w4m,minimist,0,0.2.1,https://github.com/substack/minimist
GHSA-vh95-rmgr-6w4m,minimist,1.0.0,1.2.3,https://github.com/substack/minimist
GHSA-h698-r4hm-w94p,paypal-ipn,0,3.0.0,https://github.com/andzdroid/paypal-ipn
GHSA-2gjg-5x33-mmp2,localhost-now,0,1.0.2,
GHSA-x5pg-88wf-qq4p,marked,0,0.3.9,
GHSA-fj78-2vc5-f6cm,versionn,0,1.1.0,https://github.com/commenthol/versionn
GHSA-hxf5-mg84-pj4m,moment,0,2.11.2,
GHSA-c36v-fmgq-m8hx,immer,0,9.0.6,https://github.com/immerjs/immer
GHSA-vwhc-pww7-72x6,total.js,0,3.4.9,https://github.com/totaljs
GHSA-7xfp-9c55-5vqj,request,2.49.0,2.68.0,
GHSA-7xfp-9c55-5vqj,request,2.2.6,2.68.0,
GHSA-m6w8-fq7v-ph4m,@openzeppelin/contracts,4.3.0,4.4.2,https://github.com/OpenZeppelin/openzeppelin-contracts
GHSA-m6w8-fq7v-ph4m,@openzeppelin/contracts-upgradeable,4.3.0,4.4.2,https://github.com/OpenZeppelin/openzeppelin-contracts
