,repo_name,release_count,age,star_count,latest_commit_date,time_from_latest_commit,fork,archived
0,3drepo/3drepo.io,44,3649,95,2024-08-23 09:56:53+00:00,7,0,0
1,accordproject/concerto,101,2157,108,2024-08-27 14:15:34+00:00,3,0,0
2,aeneasr/ory-editor,387,3379,9439,2023-04-26 07:57:00+00:00,492,0,0
3,Agoric/agoric-sdk,31,1762,322,2024-08-28 18:08:52+00:00,2,0,0
4,ajoslin/conventional-changelog,147,3888,7733,2024-05-06 14:46:45+00:00,116,0,0
5,akvo/akvo-lumen,31,3236,63,2023-03-31 10:07:03+00:00,518,0,0
6,aldeed/simpl-schema,26,2980,560,2024-06-25 14:55:03+00:00,66,0,0
7,alexa/alexa-skills-kit-sdk-for-nodejs,52,2987,3119,2023-04-18 11:48:58+00:00,500,0,0
9,AlloyTeam/Nuclear,163,3377,13026,2024-08-23 07:04:15+00:00,7,0,0
10,amannn/action-semantic-pull-request,47,1755,938,2024-06-28 09:11:02+00:00,63,0,0
11,amark/gun,17,3681,18018,2024-07-23 12:56:40+00:00,38,0,0
12,amazeeio/lagoon,113,2555,554,2024-08-26 00:08:02+00:00,4,0,0
13,amazingandyyy/mern,6,2802,505,2023-06-08 15:25:49+00:00,449,0,0
14,angular/angular-cli,735,3373,26723,2024-08-28 20:50:27+00:00,1,0,0
15,aol/moloch,64,4436,6246,2024-08-23 11:22:55+00:00,7,0,0
16,AOT-Technologies/forms-flow-ai,25,1603,332,2024-08-28 12:56:56+00:00,2,0,0
17,apiaryio/api-elements.js,74,2416,74,2023-07-28 17:54:38+00:00,399,0,0
18,apollographql/apollo-codegen,40,2938,3041,2023-03-29 12:35:23+00:00,520,0,0
19,apollostack/apollo-server,140,3051,13747,2024-08-15 16:25:17+00:00,15,0,0
20,apollostack/graphql-tools,1405,3081,5334,2024-08-28 01:08:27+00:00,2,0,0
21,appearhere/bloom,132,2945,51,2024-08-14 00:41:39+00:00,16,0,0
22,aragon/aragon-apps,156,2507,386,2022-10-12 08:01:24+00:00,688,0,0
23,ArkEcosystem/core,100,2471,337,2024-06-19 11:10:14+00:00,72,0,0
24,atlassian/extract-react-types,26,2556,178,2022-10-20 00:40:43+00:00,680,0,0
25,Automattic/wp-calypso,42,3214,12401,2024-08-28 19:25:10+00:00,1,0,0
26,Availity/availity-react,8,2453,51,2024-08-27 15:43:27+00:00,3,0,0
27,Availity/availity-workflow,94,3277,28,2024-08-28 12:23:17+00:00,2,0,0
28,aws/aws-xray-sdk-node,21,2728,266,2024-08-22 22:05:09+00:00,7,0,0
29,aws-amplify/amplify-js,149,2521,9411,2024-08-27 20:02:01+00:00,2,0,0
30,awslabs/aws-mobile-appsync-sdk-js,11,2500,919,2024-01-23 19:46:14+00:00,219,0,0
31,aws-samples/aws-api-gateway-developer-portal,22,2837,928,2023-10-31 12:45:56+00:00,304,0,0
32,babel/babel,408,3622,43135,2024-08-28 15:46:47+00:00,2,0,0
33,baidu/san,97,2921,4713,2024-04-10 17:13:12+00:00,142,0,0
34,bakdata/conquery,249,2604,36,2024-08-27 11:55:52+00:00,3,0,0
35,betagouv/syso,50,2996,253,2024-08-26 15:30:14+00:00,4,0,0
36,bids-standard/bids-validator,144,3367,179,2024-08-28 15:38:04+00:00,2,0,0
37,bkimminich/juice-shop,208,3631,10026,2024-08-07 14:24:45+00:00,23,0,0
38,blockchain/blockchain-wallet-v4-frontend,1177,2634,762,2024-08-26 14:53:52+00:00,4,0,0
39,bluebill1049/react-simple-animate,68,2587,1819,2024-05-22 00:11:52+00:00,100,0,0
40,bpmn-io/diagram-js,21,3870,1666,2024-08-28 13:38:10+00:00,2,0,0
41,BuilderIO/builder,514,2036,7222,2024-08-28 20:26:47+00:00,1,0,0
42,BulletTrainHQ/bullet-train-js-client,69,2277,59,2024-07-16 14:48:45+00:00,45,0,0
43,buzz/newsdash,13,1823,57,2024-07-22 18:28:54+00:00,39,0,0
44,c8r/markdown,118,2439,17325,2024-08-22 13:48:10+00:00,8,0,0
45,callemall/material-ui,489,3663,93074,2024-08-28 20:34:35+00:00,1,0,0
46,callstack-io/linaria,559,2654,11467,2024-04-26 11:42:34+00:00,126,0,0
47,camunda/camunda-modeler,118,3267,1483,2024-08-28 13:48:44+00:00,2,0,0
48,canonical-web-and-design/maas-ui,25,1906,48,2024-08-21 14:45:04+00:00,9,0,0
49,carbon-design-system/carbon-addons-iot-react,1532,2086,95,2024-08-16 11:04:12+00:00,14,0,0
50,cedardevs/onestop,50,2973,43,2023-07-07 19:26:05+00:00,419,0,0
51,ceolter/ag-grid,222,3536,12438,2024-08-28 19:03:42+00:00,2,0,0
52,ChainSafeSystems/lodestar_chain,160,2259,1132,2024-08-26 16:04:16+00:00,4,0,0
53,ChainShot/Builder,55,2120,41,2022-12-07 21:44:17+00:00,631,0,0
54,chakra-ui/chakra-ui,3337,1838,37365,2024-08-28 19:57:17+00:00,1,0,0
55,chanzuckerberg/cellxgene,46,2521,612,2024-04-18 14:54:49+00:00,134,0,0
56,cheton/cnc,190,3295,2264,2023-10-07 12:23:51+00:00,328,0,0
57,Chocobozzz/PeerTube,125,3225,12872,2024-08-21 11:58:58+00:00,9,0,0
58,CMSgov/design-system,205,2759,310,2024-08-28 19:49:04+00:00,1,0,0
59,code-dot-org/code-dot-org,2126,3630,830,2024-08-28 20:49:10+00:00,1,0,0
61,compulim/web-speech-cognitive-services,16,2253,61,2024-06-02 01:41:42+00:00,89,0,0
63,contentful/forma-36,6973,2140,331,2024-08-13 14:42:14+00:00,17,0,0
64,conventional-changelog/commitlint,160,3120,16566,2024-08-28 07:38:44+00:00,2,0,0
65,conversejs/converse.js,100,4421,3058,2024-08-25 19:13:25+00:00,5,0,0
66,coveo/react-vapor,816,2905,59,2024-08-28 15:51:40+00:00,2,0,0
67,Cox-Automotive/ALKS-CLI,88,2973,40,2024-05-31 14:42:26+00:00,91,0,0
