repo_name;release_count;age;star_count;latest_commit_date
3drepo/3drepo.io;44;3649;95;2024-08-23 09:56:53+00:00
99xt/serverless-react-boilerplate;10;2970;260;2019-07-31 04:52:39+00:00
accordproject/concerto;101;2157;108;2024-08-27 14:15:34+00:00
acdlite/recompose;42;3248;14766;2018-12-03 21:39:57+00:00
adobe/brackets;69;4647;33265;2021-03-18 13:52:19+00:00
aeneasr/ory-editor;387;3379;9439;2023-04-26 07:57:00+00:00
Agoric/agoric-sdk;31;1762;322;2024-08-28 18:08:52+00:00
aichbauer/express-routes-mapper;6;2731;21;2020-02-14 22:48:05+00:00
ajoslin/conventional-changelog;147;3888;7733;2024-05-06 14:46:45+00:00
akvo/akvo-lumen;31;3236;63;2023-03-31 10:07:03+00:00
aldeed/simpl-schema;26;2980;560;2024-06-25 14:55:03+00:00
alexa/alexa-skills-kit-sdk-for-nodejs;52;2987;3119;2023-04-18 11:48:58+00:00
AlexGalays/kaiju;29;3097;89;2018-08-03 17:46:53+00:00
algolia/react-instantsearch;47;2703;1970;2022-12-30 12:33:02+00:00
alleyinteractive/irving;242;2273;42;2022-04-05 16:10:08+00:00
AlloyTeam/Nuclear;163;3377;13026;2024-08-23 07:04:15+00:00
amannn/action-semantic-pull-request;47;1755;938;2024-06-28 09:11:02+00:00
amark/gun;17;3681;18018;2024-07-23 12:56:40+00:00
amazeeio/lagoon;113;2555;554;2024-08-26 00:08:02+00:00
amazingandyyy/mern;6;2802;505;2023-06-08 15:25:49+00:00
AnalyzeOrFeed/aof-replay-client;11;3271;20;2016-04-27 18:22:03+00:00
angular/angular-cli;735;3373;26723;2024-08-28 20:50:27+00:00
angular-redux/ng2-redux;5;3302;1337;2018-07-13 20:24:18+00:00
antonybudianto/cra-universal;19;2570;431;2022-05-30 13:00:42+00:00
aol/moloch;64;4436;6246;2024-08-23 11:22:55+00:00
AOT-Technologies/forms-flow-ai;25;1603;332;2024-08-28 12:56:56+00:00
apache/incubator-weex-cli;10;2981;564;2021-05-27 13:01:39+00:00
apiaryio/api-elements.js;74;2416;74;2023-07-28 17:54:38+00:00
apollographql/apollo-codegen;40;2938;3041;2023-03-29 12:35:23+00:00
apollostack/apollo-server;140;3051;13747;2024-08-15 16:25:17+00:00
apollostack/graphql-tools;1405;3081;5334;2024-08-28 01:08:27+00:00
appearhere/bloom;132;2945;51;2024-08-14 00:41:39+00:00
aragon/aragon.js;21;2592;82;2022-08-30 10:32:11+00:00
aragon/aragon-apps;156;2507;386;2022-10-12 08:01:24+00:00
ark120202/angel-arena-black-star;84;2662;27;2020-03-02 11:26:55+00:00
ArkEcosystem/core;100;2471;337;2024-06-19 11:10:14+00:00
ArthurClemens/Polythene;17;3440;591;2021-10-21 14:25:31+00:00
atlassian/extract-react-types;26;2556;178;2022-10-20 00:40:43+00:00
AugurProject/augur;20;2220;450;2021-11-05 17:40:24+00:00
aurelia/skeleton-navigation;65;3547;734;2018-04-18 18:21:19+00:00
Automattic/wp-calypso;42;3214;12401;2024-08-28 19:25:10+00:00
Availity/availity-react;8;2453;51;2024-08-27 15:43:27+00:00
Availity/availity-workflow;94;3277;28;2024-08-28 12:23:17+00:00
aws/aws-xray-sdk-node;21;2728;266;2024-08-22 22:05:09+00:00
aws-amplify/amplify-js;149;2521;9411;2024-08-27 20:02:01+00:00
awslabs/aws-mobile-appsync-sdk-js;11;2500;919;2024-01-23 19:46:14+00:00
aws-samples/aws-api-gateway-developer-portal;22;2837;928;2023-10-31 12:45:56+00:00
babel/babel;408;3622;43135;2024-08-28 15:46:47+00:00
babel/babel-minify;18;3065;4390;2022-05-06 18:33:25+00:00
baidu/san;97;2921;4713;2024-04-10 17:13:12+00:00
bakdata/conquery;249;2604;36;2024-08-27 11:55:52+00:00
betagouv/syso;50;2996;253;2024-08-26 15:30:14+00:00
bids-standard/bids-validator;144;3367;179;2024-08-28 15:38:04+00:00
binaryage/dirac;120;3179;769;2020-11-26 17:30:30+00:00
bkimminich/juice-shop;208;3631;10026;2024-08-07 14:24:45+00:00
blockchain/blockchain-wallet-v4-frontend;1177;2634;762;2024-08-26 14:53:52+00:00
