repo_name;release_count
3drepo/3drepo.io;44
4lejandrito/creepyface;0
500tech/angular-kick;1
99xt/serverless-react-boilerplate;10
accordproject/concerto;101
acdlite/recompose;42
actions-on-google/actionssdk-eliza-nodejs;0
actions-on-google/actionssdk-say-number-nodejs;0
actions-on-google/apiai-facts-about-google-nodejs;0
actions-on-google/apiai-name-psychic-nodejs;0
actions-on-google/apiai-number-genie-nodejs;0
actions-on-google/apiai-silly-name-maker-webhook-nodejs;0
actions-on-google/apiai-webhook-template-nodejs;0
actions-on-google/dialogflow-conversation-components-nodejs;0
actions-on-google/dialogflow-transactions-nodejs;0
acuminous/yadda;0
adeira/universe;3
adngdb/processeer;0
adobe/brackets;69
aeneasr/ory-editor;387
aergoio/herajs;0
Agoric/agoric-sdk;31
Agoric/SES-shim;0
AHRQ-CDS/AHRQ-CDS-Connect-Authoring-Tool;0
aichbauer/express-routes-mapper;6
aichbauer/styled-bootstrap-components;0
Airbitz/airbitz-core-js-ui;0
airbnb/enzyme;0
airbnb/react-with-styles-interface-css;0
ajoslin/conventional-changelog;147
akabekobeko/examples-electron;0
akabekobeko/examples-web-app;0
Akryum/nodepack;0
akvo/akvo-lumen;31
AlanWei/react-boilerplate-2017;0
aldeed/simpl-schema;26
alexa/alexa-skills-kit-sdk-for-nodejs;52
alexa/skill-sample-nodejs-zero-to-hero;0
alexanderwallin/react-player-controls;0
AlexGalays/kaiju;29
algolia/algoliasearch-zendesk;0
algolia/react-instantsearch;47
alibaba/AliOS-nodejs;0
aliyun/alibabacloud-console-design;1
alleyinteractive/irving;242
AlloyTeam/Nuclear;163
amannn/action-semantic-pull-request;47
amark/gun;17
amazeeio/lagoon;113
amazingandyyy/mern;6
ambar/reiconify;0
amercier/generator-angular-php;3
AnalyzeOrFeed/aof-replay-client;11
anddimario/stiva;0
angular/angular-cli;735
angular/mobile-toolkit;0
angular/protractor;1
angular-redux/ng2-redux;5
antonybudianto/cra-universal;19
aol/moloch;64
AOT-Technologies/forms-flow-ai;25
apache/brooklyn-ui;0
apache/incubator-weex-cli;10
apiaryio/api-elements.js;74
apollographql/apollo-codegen;40
apollographql/fullstack-tutorial;0
apollographql/gatsby-theme-apollo;1
ApollosProject/apollos-apps;0
apollostack/apollo-server;140
apollostack/graphql-tools;1405
appearhere/bloom;132
Appverse/generator-appverse-html5;0
arackaf/booklist;0
aragon/aragon.js;21
aragon/aragon-apps;156
aravindavk/gdash;0
ArcBlock/ocap-javascript-sdk;0
arcuri82/web_development_and_api_design;0
arimah/condict;0
aristanetworks/cloudvision;2
ark120202/angel-arena-black-star;84
ArkEcosystem/core;100
arso-project/archipel;1
ArthurClemens/Polythene;17
async-labs/builderbook;0
athm-fe/create-autofe-app;0
atlassian/extract-react-types;26
atomicjolt/react_client_starter_app;1
atulmy/node-express-react-redux-zwitter;0
AugurProject/augur;20
aurelia/skeleton-navigation;65
AutarkLabs/open-enterprise;0
Autodesk/orion-ui;0
Automattic/wp-calypso;42
Availity/availity-react;8
Availity/availity-workflow;94
aws/aws-xray-sdk-node;21
aws-amplify/amplify-js;149
awslabs/aws-mobile-appsync-sdk-js;11
aws-samples/aws-api-gateway-developer-portal;22
aws-samples/aws-iot-chat-example;0
axelclark/ex338;0
Axtell/Axtell;0
aya-experience/citation;2
babel/babel;408
babel/babel-minify;18
Bahmni/openmrs-module-bahmniapps;1
baidu/san;97
bakdata/conquery;249
barbatus/angular2-meteor-universal;0
bbyars/mountebank;1
bedrockio/bedrock-core;0
beingtmk/nodejs-starter-kit;0
ben-rogerson/twin.examples;0
betagouv/syso;50
bids-standard/bids-validator;144
binaryage/dirac;120
bkimminich/juice-shop;208
blockchain/blockchain-wallet-v4-frontend;1177
bloudermilk/climatescape;0
bluebill1049/react-simple-animate;68
boostcamp-2020/Project03-A-TOTP;2
borysn/spring-boot-angular2;6
Botfuel/botfuel-dialog;0
bottega-code-school/js-builder;0
Bounteous-Inc/aem-webpack-example;14
bpmn-io/bpmn-js-examples;0
bpmn-io/diagram-js;21
Breeze/breeze.server.net;0
BuilderIO/builder;514
BulletTrainHQ/bullet-train-js-client;69
buzz/newsdash;13
bvaughn/react-window;3
c8r/markdown;118
calesce/redux-slider-monitor;6
calitek/ReactPatterns;0
callemall/material-ui;489
callmecavs/outset;19
callstack-io/linaria;559
camunda/camunda-modeler;118
camunda-consulting/code;0
CancerCollaboratory/billing;5
canonical-web-and-design/maas-ui;25
canove/whaticket;0
carbon-design-system/carbon-addons-iot-react;1532
carteb/carte-blanche;0
CartoDB/airship;1
ccnmtl/astro-simulations;0
cdimascio/generator-express-no-stress;60
cds-snc/report-a-cybercrime;8
cedalo/streamsheets;0
cedardevs/onestop;50
ceolter/ag-grid;222
CesiumGS/3d-tiles-validator;0
cgrossde/Pullover;17
ChainSafeSystems/lodestar_chain;160
ChainShot/Builder;55
chaitin/ipaspect;0
chakra-ui/chakra-ui;3337
change-metrics/monocle;0
chanzuckerberg/cellxgene;46
cheapsteak/npmcharts.com;0
ChenShenhai/koa2-note;0
cheton/cnc;190
Chocobozzz/PeerTube;125
chriskalmar/shyft;15
christianvoigt/argdown;0
ChromeDevTools/devtools-frontend;0
cleancode/waitress;0
clevertech/boilerplate;0
cloud-annotations/cloud-annotations-client;0
cloud-sn/uxcool;0
CMSgov/design-system;205
codaxy/cxjs;4
code-dot-org/code-dot-org;2126
codejamninja/reaction;7
codemix/flow-runtime;2
CodingZeal/generator-react-zeal;7
CompuIves/codesandbox-client;1
compulim/web-speech-cognitive-services;16
ConsenSys/cakeshop;6
ConsenSys/truffle;280
contentful/forma-36;6973
conventional-changelog/commitlint;160
conversejs/converse.js;100
coveo/react-vapor;816
Cox-Automotive/ALKS-CLI;88
CPatchane/create-cozy-app;0
Cretezy/noderize;24
Cristian006/frameless-titlebar;5
cryptape/nervos.js;20
cryptonomex/graphene-ui;1
cs-education/sysbuild;1
ctrl-freaks/freezeframe.js;0
ctumolosus/jsdoc-babel;0
cubic-js/cubic;124
cyberFund/chaingear;1
cyclejs/core;60
cyclejs-community/create-cycle-app;0
cyclejs-community/redux-cycles;2
D1plo1d/graphql-things;0
danactive/history;63
danielbayerlein/honeycomb;0
danielcondemarin/serverless-next.js;577
DanielSchaffer/webpack-babel-multi-target-plugin;36
danielschmitz/angular2-codes;0
danneu/generator-elm;0
David-Desmaisons/Neutronium;19
dayhaysoos/use-shopping-cart;2
dcalsky/jwt-express-react;0
Deathangel908/pychat;0
DecenterApps/MatchChannels;0
demisto/sane-reports;4
demoiselle/example;2
DennisKo/zeit-now-next-apollo-typescript-example;0
dennisreimann/uiengine;0
derzunov/redux-react-i18n;11
developit/htm;16
developit/preact;209
developit/preact-cli;51
DevExpress/DevExtreme;244
DevExpress/devextreme-cli;13
DevExpress/devextreme-reactive;105
devuxd/SeeCodeRun;0
dfahlander/Dexie.js;129
dgraph-io/graphql-sample-apps;0
dhis2/d2-ui;1
dialogflow/dialogflow-nodejs-client-v2;90
didinj/node-express-mongoose-passport-jwt-rest-api-auth;0
digitalie/one-loader;0
DimiMikadze/create-social-network;0
dipterix/threeBrain;12
django-rea/rea-app;0
Domiii/dbux;0
D-Pow/MockRequests;13
draft-js-plugins/draft-js-plugins;210
driftyco/ionic;878
driftyco/ionic-cli;53
dsebastien/modernWebDevGenerator;20
dtinth/WebMIDICon;0
dustingetz/react-cursor;0
dvajs/dva;35
eankeen/tails;0
easy-team/easywebpack;0
ebmdatalab/openprescribing;0
Ecodev/natural-gallery-js;3
eddyerburgh/jest-vue;79
Edgeryders-Participio/realities;0
egoist/poi;98
ekoeryanto/netlify-cms-widgets;3
elastic/kibana;154
elastic-coders/serverless-webpack;58
elclanrs/jq-idealforms-old;0
electric-eloquence/fepper;55
electrode-io/electrode;0
electrode-io/electrode-archetype-react-app;0
electrode-io/fyn;0
electron-userland/electron-forge;44
elyra-ai/canvas;110
embark-framework/embark;76
embarklabs/subspace;7
embassynetwork/modernomad;0
ember-cli/ember-cli;308
ember-cli/ember-octane-blueprint;1
emilybache/GildedRose-Refactoring-Kata;0
emoji-gen/Emoji-Web;0
emotion-js/emotion;554
enactjs/enact;146
enigmampc/enigma-contract;0
entria/entria-fullstack;0
EOSIO/eosio-project-demux-example;0
episerver/Foundation;0
equinor/design-system;167
esausilva/vuejs-aspnet-core;0
EskiMojo14/keycaplendar;0
espresso-org/aragon-drive;0
Esri/arcgis-js-cli;36
ETCDEVTeam/emerald-wallet;43
ethereum-oasis/baseline;1
EthWorks/UniversalLoginSDK;5
evuz/VisualComicReader;3
ewendel/react-workshop;0
ExactTarget/fuelux;54
exercism/ecmascript;0
expo/expo-cli;0
exponentjs/exponent;0
facebook/create-react-app;83
facebook/Docusaurus;144
facebook/draft-js;26
facebook/fbjs;0
facebook/flux;4
facebook/jest;202
facebook/nuclide;114
facebook/planout;0
facebook/react;101
facebook/regenerator;37
facebook/relay;83
facebook/Sonar;321
facebook-atom/atom-ide-ui;29
facebookincubator/idx;0
Farata/angular2typescript;0
farism/stylegator;36
fbbergamo/gerador-pix;0
featherity/featherity;510
feathersjs/feathers;98
FeelTrainCoop/shortcut;2
FE-Kits/fe-boilerplates;0
FelixHenninger/lab.js;28
FelixKuehl/cra-monorepo;0
FelixRilling/yugioh-deck-tool;23
ferrucc-io/kit-crm;0
fgpv-vpgf/fgpv-vpgf;85
Financial-Times/x-dash;290
firebase/firebase-js-sdk;19
FirebaseExtended/reactfire;42
