,repo_name,release_count,age,star_count,latest_commit_date,time_from_latest_commit,fork,archived
0,earwig/mwparserfromhell,23,4484,738,2024-07-20 00:48:12+00:00,41,0,0
1,edx/course-discovery,10,3215,56,2024-08-28 20:44:56+00:00,1,0,0
3,CellProfiler/CellProfiler,34,4895,891,2024-08-23 20:57:18+00:00,6,0,0
4,DigitalCampus/django-oppia,42,4090,17,2024-08-29 05:17:44+00:00,1,0,0
5,OpenTransitTools/gtfsdb,5,3452,155,2023-12-12 21:44:27+00:00,261,0,0
7,Ulauncher/Ulauncher,147,3399,3614,2024-08-18 10:39:18+00:00,12,0,0
8,canonical/cloud-init,35,3613,2846,2024-08-29 16:04:58+00:00,1,0,0
9,codalab/codalab-cli,121,3559,154,2024-05-21 18:37:15+00:00,101,0,0
10,exaile/exaile,29,3652,360,2024-08-05 01:09:13+00:00,25,0,0
11,google/clusterfuzz,35,2039,5263,2024-08-29 03:53:53+00:00,1,0,0
12,kobotoolbox/kobocat,59,3937,117,2024-08-16 13:23:56+00:00,14,0,0
14,mdtraj/mdtraj,27,4311,577,2024-07-19 14:09:39+00:00,42,0,0
15,mozilla-services/shavar-list-creation,5,3627,15,2024-08-23 17:09:45+00:00,7,0,0
16,mozilla/telemetry-airflow,45,3033,174,2024-08-29 17:00:16+00:00,1,0,0
17,sagemath/sage,115,4465,1289,2024-08-10 20:04:33+00:00,19,0,0
18,salopensource/sal-scripts,43,3313,23,2023-09-21 18:41:46+00:00,344,0,0
20,widdowquinn/pyani,16,3530,192,2024-08-09 11:55:33+00:00,21,0,0
21,z411/trackma,21,4401,765,2024-08-11 21:08:33+00:00,18,0,0
22,Adapter-Hub/adapter-transformers,21,1591,2508,2024-08-22 18:30:45+00:00,8,0,0
24,PyTorchLightning/pytorch-lightning,160,1978,27853,2024-08-22 13:59:19+00:00,8,0,0
25,cltk/cltk,78,3882,830,2024-05-12 22:59:32+00:00,109,0,0
28,googlefonts/fontbakery,55,4212,542,2024-08-23 05:40:30+00:00,7,0,0
30,NSLS-II/PyXRF,24,3437,30,2024-08-20 14:25:50+00:00,10,0,0
31,PierreRaybaut/PythonQwt,24,3295,85,2024-08-06 10:07:02+00:00,24,0,0
32,PierreRaybaut/guidata,26,3294,60,2024-08-29 17:21:09+00:00,1,0,0
33,cbrnr/mnelab,28,2623,238,2024-07-25 10:52:18+00:00,36,0,0
34,equinor/ert,475,2684,99,2024-08-29 20:09:23+00:00,0,0,0
35,kcjengr/QtPyVCP,44,2155,88,2024-08-15 19:25:34+00:00,14,0,0
36,pyvista/pyvistaqt,6,1568,104,2024-08-26 21:37:03+00:00,3,0,0
38,tohojo/flent,24,4342,429,2024-06-24 16:51:58+00:00,67,0,0
39,wkentaro/labelme,68,3034,13060,2024-08-24 07:02:54+00:00,6,0,0
41,deshaw/pyflyby,24,2154,345,2024-08-13 10:27:57+00:00,17,0,0
42,scrapy/parsel,15,3415,1117,2024-04-08 08:10:45+00:00,144,0,0
43,yashaka/selene,39,3422,690,2024-08-04 22:53:42+00:00,25,0,0
44,akretion/roulier,19,3055,21,2024-05-24 08:28:52+00:00,98,0,0
45,certtools/intelmq,44,3719,963,2024-08-27 09:55:28+00:00,3,0,0
49,6uhrmittag/taskbutler,9,2337,50,2023-07-18 08:51:07+00:00,409,0,0
53,Clinical-Genomics/scout,151,3611,148,2024-08-28 08:04:57+00:00,2,0,0
56,DMOJ/online-judge,5,3822,914,2024-08-22 02:52:26+00:00,8,0,0
57,DuckBoss/JJMumbleBot,63,2026,50,2024-02-08 05:10:14+00:00,204,0,0
59,HXLStandard/libhxl-python,83,3669,40,2024-08-27 08:17:39+00:00,3,0,0
60,JohnMaguire/Cardinal,32,4221,100,2024-07-24 20:01:01+00:00,36,0,0
62,Nettacker/Nettacker,12,2687,3177,2024-08-25 10:55:04+00:00,5,0,0
63,OCHA-DAP/hdx-ckan,691,3852,74,2024-08-29 12:08:11+00:00,1,0,0
64,PSLmodels/Tax-Calculator,97,3684,254,2024-08-21 16:11:55+00:00,9,0,0
65,RIPE-NCC/ripe-atlas-cousteau,28,3759,64,2023-01-20 15:14:30+00:00,588,0,0
66,RomelTorres/alpha_vantage,6,2679,4220,2024-07-18 16:46:48+00:00,43,0,0
