repo_name;release_count;age;star_count;latest_commit_date
earwig/mwparserfromhell;23;4484;738;2024-07-20 00:48:12+00:00
edx/course-discovery;10;3215;56;2024-08-28 20:44:56+00:00
pollen-robotics/reachy;11;1864;137;2021-06-14 09:30:57+00:00
CellProfiler/CellProfiler;34;4895;891;2024-08-23 20:57:18+00:00
DigitalCampus/django-oppia;42;4090;17;2024-08-29 05:17:44+00:00
OpenTransitTools/gtfsdb;5;3452;155;2023-12-12 21:44:27+00:00
Rorosha/testcloud;12;3688;13;2017-07-31 17:44:39+00:00
Ulauncher/Ulauncher;147;3399;3614;2024-08-18 10:39:18+00:00
canonical/cloud-init;35;3613;2846;2024-08-29 16:04:58+00:00
codalab/codalab-cli;121;3559;154;2024-05-21 18:37:15+00:00
exaile/exaile;29;3652;360;2024-08-05 01:09:13+00:00
google/clusterfuzz;35;2039;5263;2024-08-29 03:53:53+00:00
kobotoolbox/kobocat;59;3937;117;2024-08-16 13:23:56+00:00
kyper-data/python-highcharts;8;3287;394;2018-12-14 21:39:47+00:00
mdtraj/mdtraj;27;4311;577;2024-07-19 14:09:39+00:00
mozilla-services/shavar-list-creation;5;3627;15;2024-08-23 17:09:45+00:00
mozilla/telemetry-airflow;45;3033;174;2024-08-29 17:00:16+00:00
sagemath/sage;115;4465;1289;2024-08-10 20:04:33+00:00
salopensource/sal-scripts;43;3313;23;2023-09-21 18:41:46+00:00
tdsmith/homebrew-pypi-poet;10;3497;138;2018-02-23 06:19:15+00:00
widdowquinn/pyani;16;3530;192;2024-08-09 11:55:33+00:00
z411/trackma;21;4401;765;2024-08-11 21:08:33+00:00
Adapter-Hub/adapter-transformers;21;1591;2508;2024-08-22 18:30:45+00:00
PaulMcInnis/JobFunnel;10;2561;1796;2021-11-25 15:37:30+00:00
PyTorchLightning/pytorch-lightning;160;1978;27853;2024-08-22 13:59:19+00:00
cltk/cltk;78;3882;830;2024-05-12 22:59:32+00:00
wellcometrust/WellcomeML;21;1687;31;2023-08-09 08:17:03+00:00
yannforget/pylandsat;5;2179;65;2021-03-12 10:57:21+00:00
googlefonts/fontbakery;55;4212;542;2024-08-23 05:40:30+00:00
1313e/PRISM;13;2396;43;2021-02-01 04:08:52+00:00
NSLS-II/PyXRF;24;3437;30;2024-08-20 14:25:50+00:00
PierreRaybaut/PythonQwt;24;3295;85;2024-08-06 10:07:02+00:00
PierreRaybaut/guidata;26;3294;60;2024-08-29 17:21:09+00:00
cbrnr/mnelab;28;2623;238;2024-07-25 10:52:18+00:00
equinor/ert;475;2684;99;2024-08-29 20:09:23+00:00
kcjengr/QtPyVCP;44;2155;88;2024-08-15 19:25:34+00:00
pyvista/pyvistaqt;6;1568;104;2024-08-26 21:37:03+00:00
srevinsaju/guiscrcpy;38;1904;2826;2023-12-29 15:25:47+00:00
tohojo/flent;24;4342;429;2024-06-24 16:51:58+00:00
wkentaro/labelme;68;3034;13060;2024-08-24 07:02:54+00:00
Syncleus/apex;5;3087;15;2016-12-13 20:44:04+00:00
deshaw/pyflyby;24;2154;345;2024-08-13 10:27:57+00:00
scrapy/parsel;15;3415;1117;2024-04-08 08:10:45+00:00
yashaka/selene;39;3422;690;2024-08-04 22:53:42+00:00
akretion/roulier;19;3055;21;2024-05-24 08:28:52+00:00
certtools/intelmq;44;3719;963;2024-08-27 09:55:28+00:00
mlsecproject/combine;5;3842;652;2016-07-26 18:26:11+00:00
opentargets/rest_api;6;3146;13;2021-02-09 20:20:05+00:00
shoopio/shoop;137;3375;2226;2021-08-18 22:32:03+00:00
6uhrmittag/taskbutler;9;2337;50;2023-07-18 08:51:07+00:00
AlienVault-Labs/OTX-Python-SDK;16;3419;351;2021-04-02 16:24:07+00:00
AtomicConductor/conductor_client;92;3423;14;2022-04-04 18:38:13+00:00
Chadsr/NordVPN-NetworkManager;26;2660;123;2020-03-18 11:07:52+00:00
Clinical-Genomics/scout;151;3611;148;2024-08-28 08:04:57+00:00
CorruptComputer/ProtonDB-Tags;6;1910;186;2022-10-29 17:19:47+00:00
Crystalnix/termius-cli;13;4084;453;2021-04-05 04:10:56+00:00
DMOJ/online-judge;5;3822;914;2024-08-22 02:52:26+00:00
DuckBoss/JJMumbleBot;63;2026;50;2024-02-08 05:10:14+00:00
HDI-Project/ATM;6;2876;524;2020-02-21 17:40:58+00:00
HXLStandard/libhxl-python;83;3669;40;2024-08-27 08:17:39+00:00
JohnMaguire/Cardinal;32;4221;100;2024-07-24 20:01:01+00:00
Koed00/django-whoshere;6;3398;18;2015-06-01 11:29:27+00:00
Nettacker/Nettacker;12;2687;3177;2024-08-25 10:55:04+00:00
OCHA-DAP/hdx-ckan;691;3852;74;2024-08-29 12:08:11+00:00
PSLmodels/Tax-Calculator;97;3684;254;2024-08-21 16:11:55+00:00
RIPE-NCC/ripe-atlas-cousteau;28;3759;64;2023-01-20 15:14:30+00:00
RomelTorres/alpha_vantage;6;2679;4220;2024-07-18 16:46:48+00:00
SamSchott/maestral;57;2103;3083;2024-07-27 12:09:47+00:00
SickChill/SickChill;18;3211;2397;2024-03-01 06:25:11+00:00
SickGear/SickGear;65;3578;683;2024-08-13 11:28:31+00:00
SpiderOak/netkes;109;4090;15;2020-08-25 14:06:25+00:00
StevenBlack/hosts;668;4521;26399;2024-08-29 18:19:45+00:00
Syncplay/syncplay;69;4452;2099;2024-08-10 07:37:46+00:00
WeblateOrg/weblate;97;4567;4466;2024-08-29 20:24:43+00:00
WorldWideTelescope/pywwt;53;2481;49;2024-06-25 17:47:03+00:00
airbnb/streamalert;28;2776;2849;2022-07-20 20:54:36+00:00
akamhy/waybackpy;35;1580;460;2022-11-17 02:28:46+00:00
astropy/pyvo;30;4086;75;2024-08-28 06:20:46+00:00
avwx-rest/AVWX-Engine;25;3405;88;2024-06-13 03:56:57+00:00
callahantiff/PheKnowLator;10;2168;157;2024-04-08 01:38:19+00:00
cekit/cekit;72;2555;100;2024-07-02 14:12:42+00:00
ckan/ckanext-harvest;26;4655;130;2024-07-11 12:45:48+00:00
datawire/ambassador;205;2709;4336;2024-08-20 20:41:54+00:00
ericmandel/pyjs9;15;3525;16;2022-06-21 14:12:51+00:00
explosion/spaCy;125;3710;29573;2024-08-20 10:16:08+00:00
galaxyproject/galaxy;19;3475;1367;2024-08-28 19:46:55+00:00
glennmatthews/cot;42;3717;88;2019-12-04 15:42:20+00:00
grow/grow;164;3999;399;2024-06-03 16:41:52+00:00
gwpy/gwosc;15;2668;25;2023-05-09 13:09:35+00:00
ilastik/ilastik;10;4496;346;2024-08-28 09:24:49+00:00
janrain/janrain-python-api;9;4223;9;2019-03-22 15:30:00+00:00
jpmens/mqttwarn;20;3854;952;2024-01-18 08:49:53+00:00
jupyter/repo2docker;14;2669;1612;2024-08-29 07:00:14+00:00
kovacsbalu/WazeRouteCalculator;17;3225;144;2022-08-15 11:38:02+00:00
lektor/lektor;44;3176;3803;2024-08-13 19:19:00+00:00
microsoft/nlp-recipes;5;1973;6362;2021-01-06 21:17:23+00:00
oemof/feedinlib;6;3689;99;2023-07-30 04:54:03+00:00
project-koku/koku;268;2351;264;2024-08-29 12:28:44+00:00
pv8/noipy;14;4178;71;2022-05-18 13:12:30+00:00
rhinstaller/anaconda;176;3495;531;2024-08-28 09:01:23+00:00
rolandgeider/wger;11;4240;3048;2024-08-29 12:14:13+00:00
romanvm/service.addic7ed;24;3597;20;2024-06-23 10:35:50+00:00
rotki/rotki;110;2369;2769;2024-08-29 13:47:17+00:00
rsmusllp/king-phisher;29;3891;2201;2022-11-07 16:21:41+00:00
sk1418/zhuaxia;8;3840;410;2018-09-10 20:51:21+00:00
streamlit/streamlit;83;1832;34318;2024-08-29 17:57:06+00:00
tobi-wan-kenobi/bumblebee-status;40;2860;1211;2024-06-11 13:04:30+00:00
xesscorp/KiCost;11;3346;502;2024-07-16 12:40:54+00:00
xirixiz/Home-Assistant-Sensor-Afvalwijzer;124;2345;175;2024-06-22 06:15:39+00:00
y0ssar1an/CSS3;50;3699;189;2024-07-19 17:00:39+00:00
4Catalyzer/flask-resty;82;3323;85;2024-02-20 03:26:19+00:00
Diaoul/spkrepo;7;3561;150;2024-02-25 11:33:18+00:00
