repo_name;release_count;age
earwig/mwparserfromhell;23;4484
edx/course-discovery;10;3215
pollen-robotics/reachy;11;1864
CellProfiler/CellProfiler;34;4895
DigitalCampus/django-oppia;42;4090
OpenTransitTools/gtfsdb;5;3452
Rorosha/testcloud;12;3688
Ulauncher/Ulauncher;147;3399
canonical/cloud-init;35;3613
codalab/codalab-cli;121;3559
exaile/exaile;29;3652
google/clusterfuzz;35;2039
kobotoolbox/kobocat;59;3937
kyper-data/python-highcharts;8;3287
mdtraj/mdtraj;27;4311
mozilla-services/shavar-list-creation;5;3627
mozilla/telemetry-airflow;45;3033
sagemath/sage;115;4465
salopensource/sal-scripts;43;3313
tdsmith/homebrew-pypi-poet;10;3497
widdowquinn/pyani;16;3530
z411/trackma;21;4401
Adapter-Hub/adapter-transformers;21;1591
PaulMcInnis/JobFunnel;10;2561
PyTorchLightning/pytorch-lightning;160;1978
cltk/cltk;78;3882
wellcometrust/WellcomeML;21;1687
yannforget/pylandsat;5;2179
googlefonts/fontbakery;55;4212
1313e/PRISM;13;2396
NSLS-II/PyXRF;24;3437
PierreRaybaut/PythonQwt;24;3295
PierreRaybaut/guidata;26;3294
cbrnr/mnelab;28;2623
equinor/ert;475;2684
kcjengr/QtPyVCP;44;2155
pyvista/pyvistaqt;6;1568
srevinsaju/guiscrcpy;38;1904
tohojo/flent;24;4342
wkentaro/labelme;68;3034
Syncleus/apex;5;3087
deshaw/pyflyby;24;2154
scrapy/parsel;15;3415
yashaka/selene;39;3422
akretion/roulier;19;3055
certtools/intelmq;44;3719
mlsecproject/combine;5;3842
opentargets/rest_api;6;3146
shoopio/shoop;137;3375
6uhrmittag/taskbutler;9;2337
AlienVault-Labs/OTX-Python-SDK;16;3419
AtomicConductor/conductor_client;92;3423
Chadsr/NordVPN-NetworkManager;26;2660
Clinical-Genomics/scout;151;3611
CorruptComputer/ProtonDB-Tags;6;1910
Crystalnix/termius-cli;13;4084
DMOJ/online-judge;5;3822
DuckBoss/JJMumbleBot;63;2026
HDI-Project/ATM;6;2876
HXLStandard/libhxl-python;83;3669
JohnMaguire/Cardinal;32;4221
Koed00/django-whoshere;6;3398
Nettacker/Nettacker;12;2687
OCHA-DAP/hdx-ckan;691;3852
PSLmodels/Tax-Calculator;97;3684
RIPE-NCC/ripe-atlas-cousteau;28;3759
RomelTorres/alpha_vantage;6;2679
SamSchott/maestral;57;2103
SickChill/SickChill;18;3211
SickGear/SickGear;65;3578
SpiderOak/netkes;109;4090
StevenBlack/hosts;668;4521
Syncplay/syncplay;69;4452
WeblateOrg/weblate;97;4567
WorldWideTelescope/pywwt;53;2481
airbnb/streamalert;28;2776
akamhy/waybackpy;35;1580
astropy/pyvo;30;4086
avwx-rest/AVWX-Engine;25;3405
callahantiff/PheKnowLator;10;2168
cekit/cekit;72;2555
ckan/ckanext-harvest;26;4655
datawire/ambassador;205;2709
ericmandel/pyjs9;15;3525
explosion/spaCy;125;3710
galaxyproject/galaxy;19;3475
glennmatthews/cot;42;3717
grow/grow;164;3999
gwpy/gwosc;15;2668
ilastik/ilastik;10;4496
janrain/janrain-python-api;9;4223
jpmens/mqttwarn;20;3854
jupyter/repo2docker;14;2669
kovacsbalu/WazeRouteCalculator;17;3225
lektor/lektor;44;3176
microsoft/nlp-recipes;5;1973
oemof/feedinlib;6;3689
project-koku/koku;268;2351
pv8/noipy;14;4178
rhinstaller/anaconda;176;3495
rolandgeider/wger;11;4240
romanvm/service.addic7ed;24;3597
rotki/rotki;110;2369
rsmusllp/king-phisher;29;3891
sk1418/zhuaxia;8;3840
streamlit/streamlit;83;1832
tobi-wan-kenobi/bumblebee-status;40;2860
xesscorp/KiCost;11;3346
xirixiz/Home-Assistant-Sensor-Afvalwijzer;124;2345
y0ssar1an/CSS3;50;3699
4Catalyzer/flask-resty;82;3323
Diaoul/spkrepo;7;3561
EUDAT-B2SHARE/b2share;56;4229
JARR-aggregator/JARR;18;3922
JackStouffer/Flask-Foundation;5;4001
MongoEngine/flask-mongoengine;10;4489
NYPL-Simplified/circulation;74;3555
Netflix/security_monkey;18;3715
OctoPrint/OctoPrint;145;4259
Pegase745/sqlalchemy-datatables;12;4040
StartupsPoleEmploi/labonneboite;5;2562
alephdata/aleph;29;3654
all-of-us/raw-data-repository;461;2933
apache/airflow;88;3426
betterlife/betterlifepsi;9;3359
blockstack/blockstack-core;118;3628
csm-aut/csm;7;3481
dpgaspar/Flask-AppBuilder;40;3945
etalab/udata;99;3779
fedora-infra/anitya;32;3926
flask-admin/flask-admin;17;4546
geopython/GeoHealthCheck;9;3642
getredash/redash;98;3958
getslash/backslash;22;3655
jfinkels/flask-restless;25;4565
levlaz/braindump;10;3202
lyft/confidant;10;3275
nsacyber/WALKOFF;40;3004
osmlab/maproulette;5;4199
raymondEhlers/OVERWATCH;8;3135
realpython/cookiecutter-flask-skeleton;12;3508
sagemath/sagenb;10;4635
seiferta/eMonitor;6;3828
sepro/MemoBoard;15;3107
spiral-project/ihatemoney;13;4921
tetherless-world/whyis;5;3119
voxpupuli/puppetboard;61;4049
Clarifai/clarifai-python;34;3744
Cornices/cornice;36;4705
GeotrekCE/Geotrek-admin;351;4133
GoogleCloudPlatform/forseti-security;63;2751
MDAnalysis/mdanalysis;30;3435
Mergifyio/mergify-engine;9;2325
OpenMined/PySyft;152;2598
PyMySQL/PyMySQL;7;4782
RPing/influx-prompt;8;2329
Scitator/catalyst;41;2201
ansible/galaxy;7;3629
blaze/distributed;8;3273
cfpb/cfgov-refresh;1586;3788
cfpb/wagtail-sharing;27;2788
circus-tent/circus;7;4586
clearlinux/autospec;13;3219
corteva/geocube;30;1974
delfick/photons;76;1518
dj-stripe/dj-stripe;70;4042
elifesciences/sciencebeam;11;2626
elyra-ai/elyra;18;1772
facebookresearch/detectron2;10;1819
gunthercox/ChatterBot;86;3623
healthchecks/healthchecks;59;3353
httpie/httpie;46;4569
idan/oauthlib;48;4666
infobyte/faraday;85;3949
jazzband/pip-tools;69;4371
lbryio/lbry;282;3297
matrix-org/sydent;24;3671
menpo/menpo;34;4141
missionpinball/mpf;34;3716
mlflow/mlflow;99;2277
mopidy/mopidy;17;5363
mopidy/mopidy-gmusic;13;4074
mopidy/mopidy-mpris;14;3978
mopidy/mopidy-spotify;27;3977
moremoban/moban;61;3137
mozilla/addons-server;5;3863
mozilla/kitsune;16;5329
mozilla/pontoon;29;4940
mozmeao/snippets-service;95;4136
mytardis/mytardis;20;4664
nipy/nibabel;40;5152
openwisp/openwisp-monitoring;6;1623
optuna/optuna;65;2381
pfnet/pfio;37;1955
pfnet/pfrl;5;1527
pimoroni/mopidy-raspberry-gpio;5;1785
praw-dev/asyncpraw;12;2032
pypa/bandersnatch;31;2299
pypa/readme_renderer;29;3836
pyproj4/pyproj;52;3530
realsuayip/django-sozluk;19;1766
rectalogic/mopidy-pandora;13;3536
rigetti/grove;8;2807
salesforce/django-declarative-apis;18;1875
sphinx-doc/sphinx;57;3527
tensorflow/hub;20;2362
tfeldmann/organize;49;2535
torchbox/wagtail;244;3860
unknown-horizons/unknown-horizons;25;5120
zalando-stups/zign;9;3396
zalando/connexion;138;3390
LyfeOnEdge/HBUpdater;21;1963
cclib/cclib;26;3895
jsalt18-sentence-repl/jiant;19;2264
pantsbuild/pants;518;4273
spotdl/spotify-downloader;85;2976
scrapinghub/scrapy-autounit;14;2058
sosy-lab/benchexec;60;3485
1Prototype1/HexBot;6;1465
Nathan-LS/Insight;11;2394
ParadoxAlarmInterface/pai;35;2337
Roxxers/roxbot;12;2655
danieldotnl/hass-multiscrape;11;1483
laramies/theHarvester;26;4988
lgrahl/threema-msgapi-sdk-python;17;3446
qtumproject/qtum-electrum;46;2551
randovania/randovania;124;2548
y-young/nazurin;24;1657
abrt/faf;6;4227
fedora-infra/python-fedora;6;4239
jhermann/rituals;5;3481
novafloss/django-generic-filters;22;4014
onepercentclub/bluebottle;369;3989
santoshphilip/eppy;33;4352
AppScale/appscale-tools;23;4514
Borda/BIRL;6;2862
DLR-RM/BlenderProc;6;1785
DMS-Aus/Roam;15;3928
StackStorm/st2;70;3781
awslabs/sockeye;76;2639
choderalab/Protons;7;3949
dataversioncontrol/dvc;544;2735
epinna/weevely3;12;3631
hammerlab/mhcflurry;28;3349
hibtc/cpymad;16;3561
metabrainz/picard;77;4761
patacrep/patacrep;6;4163
poldracklab/niworkflows;171;2961
ros-infrastructure/bloom;6;4480
torchbox/django-pattern-library;8;1653
borisbabic/browser_cookie3;6;3413
ihaveamac/3dsconv;17;3058
