repo_name;release_count;age;star_count
earwig/mwparserfromhell;23;4484;738
edx/course-discovery;10;3215;56
pollen-robotics/reachy;11;1864;137
CellProfiler/CellProfiler;34;4895;891
DigitalCampus/django-oppia;42;4090;17
OpenTransitTools/gtfsdb;5;3452;155
Rorosha/testcloud;12;3688;13
Ulauncher/Ulauncher;147;3399;3614
canonical/cloud-init;35;3613;2846
codalab/codalab-cli;121;3559;154
exaile/exaile;29;3652;360
google/clusterfuzz;35;2039;5263
kobotoolbox/kobocat;59;3937;117
kyper-data/python-highcharts;8;3287;394
mdtraj/mdtraj;27;4311;577
mozilla-services/shavar-list-creation;5;3627;15
mozilla/telemetry-airflow;45;3033;174
sagemath/sage;115;4465;1289
salopensource/sal-scripts;43;3313;23
tdsmith/homebrew-pypi-poet;10;3497;138
widdowquinn/pyani;16;3530;192
z411/trackma;21;4401;765
Adapter-Hub/adapter-transformers;21;1591;2508
PaulMcInnis/JobFunnel;10;2561;1796
PyTorchLightning/pytorch-lightning;160;1978;27853
cltk/cltk;78;3882;830
earwig/mwparserfromhell;23;4484;738
edx/course-discovery;10;3215;56
pollen-robotics/reachy;11;1864;137
CellProfiler/CellProfiler;34;4895;891
DigitalCampus/django-oppia;42;4090;17
OpenTransitTools/gtfsdb;5;3452;155
Rorosha/testcloud;12;3688;13
Ulauncher/Ulauncher;147;3399;3614
canonical/cloud-init;35;3613;2846
codalab/codalab-cli;121;3559;154
exaile/exaile;29;3652;360
google/clusterfuzz;35;2039;5263
kobotoolbox/kobocat;59;3937;117
kyper-data/python-highcharts;8;3287;394
mdtraj/mdtraj;27;4311;577
mozilla-services/shavar-list-creation;5;3627;15
mozilla/telemetry-airflow;45;3033;174
sagemath/sage;115;4465;1289
salopensource/sal-scripts;43;3313;23
tdsmith/homebrew-pypi-poet;10;3497;138
widdowquinn/pyani;16;3530;192
z411/trackma;21;4401;765
Adapter-Hub/adapter-transformers;21;1591;2508
PaulMcInnis/JobFunnel;10;2561;1796
PyTorchLightning/pytorch-lightning;160;1978;27853
cltk/cltk;78;3882;830
wellcometrust/WellcomeML;21;1687;31
yannforget/pylandsat;5;2179;65
googlefonts/fontbakery;55;4212;542
1313e/PRISM;13;2396;43
NSLS-II/PyXRF;24;3437;30
PierreRaybaut/PythonQwt;24;3295;85
PierreRaybaut/guidata;26;3294;60
cbrnr/mnelab;28;2623;238
equinor/ert;475;2684;99
kcjengr/QtPyVCP;44;2155;88
pyvista/pyvistaqt;6;1568;104
srevinsaju/guiscrcpy;38;1904;2826
tohojo/flent;24;4342;429
wkentaro/labelme;68;3034;13060
Syncleus/apex;5;3087;15
deshaw/pyflyby;24;2154;345
scrapy/parsel;15;3415;1117
yashaka/selene;39;3422;690
akretion/roulier;19;3055;21
certtools/intelmq;44;3719;963
mlsecproject/combine;5;3842;652
opentargets/rest_api;6;3146;13
shoopio/shoop;137;3375;2226
6uhrmittag/taskbutler;9;2337;50
AlienVault-Labs/OTX-Python-SDK;16;3419;351
AtomicConductor/conductor_client;92;3423;14
Chadsr/NordVPN-NetworkManager;26;2660;123
Clinical-Genomics/scout;151;3611;148
CorruptComputer/ProtonDB-Tags;6;1910;186
Crystalnix/termius-cli;13;4084;453
DMOJ/online-judge;5;3822;914
DuckBoss/JJMumbleBot;63;2026;50
HDI-Project/ATM;6;2876;524
HXLStandard/libhxl-python;83;3669;40
JohnMaguire/Cardinal;32;4221;100
Koed00/django-whoshere;6;3398;18
Nettacker/Nettacker;12;2687;3177
OCHA-DAP/hdx-ckan;691;3852;74
PSLmodels/Tax-Calculator;97;3684;254
RIPE-NCC/ripe-atlas-cousteau;28;3759;64
RomelTorres/alpha_vantage;6;2679;4220
SamSchott/maestral;57;2103;3083
SickChill/SickChill;18;3211;2397
SickGear/SickGear;65;3578;683
SpiderOak/netkes;109;4090;15
StevenBlack/hosts;668;4521;26399
Syncplay/syncplay;69;4452;2099
WeblateOrg/weblate;97;4567;4466
WorldWideTelescope/pywwt;53;2481;49
airbnb/streamalert;28;2776;2849
akamhy/waybackpy;35;1580;460
astropy/pyvo;30;4086;75
avwx-rest/AVWX-Engine;25;3405;88
callahantiff/PheKnowLator;10;2168;157
cekit/cekit;72;2555;100
ckan/ckanext-harvest;26;4655;130
datawire/ambassador;205;2709;4336
ericmandel/pyjs9;15;3525;16
explosion/spaCy;125;3710;29573
galaxyproject/galaxy;19;3475;1367
glennmatthews/cot;42;3717;88
grow/grow;164;3999;399
gwpy/gwosc;15;2668;25
ilastik/ilastik;10;4496;346
janrain/janrain-python-api;9;4223;9
jpmens/mqttwarn;20;3854;952
jupyter/repo2docker;14;2669;1612
kovacsbalu/WazeRouteCalculator;17;3225;144
lektor/lektor;44;3176;3803
microsoft/nlp-recipes;5;1973;6362
oemof/feedinlib;6;3689;99
project-koku/koku;268;2351;264
pv8/noipy;14;4178;71
rhinstaller/anaconda;176;3495;531
rolandgeider/wger;11;4240;3048
romanvm/service.addic7ed;24;3597;20
rotki/rotki;110;2369;2769
rsmusllp/king-phisher;29;3891;2201
sk1418/zhuaxia;8;3840;410
streamlit/streamlit;83;1832;34318
tobi-wan-kenobi/bumblebee-status;40;2860;1211
xesscorp/KiCost;11;3346;502
xirixiz/Home-Assistant-Sensor-Afvalwijzer;124;2345;175
y0ssar1an/CSS3;50;3699;189
4Catalyzer/flask-resty;82;3323;85
Diaoul/spkrepo;7;3561;150
EUDAT-B2SHARE/b2share;56;4229;35
JARR-aggregator/JARR;18;3922;419
JackStouffer/Flask-Foundation;5;4001;1288
MongoEngine/flask-mongoengine;10;4489;841
NYPL-Simplified/circulation;74;3555;19
Netflix/security_monkey;18;3715;4349
