"system_name","from_package_name","from_version","from_package_release_date","to_package_name","actual_requirement","to_version","to_package_release_date","prev_from_version","prev_to_version","valid_ttu"
"NPM","@dojo/interop","4.0.0","2018-10-15 17:27:00","dojo","1.13.0","1.13.0","2017-09-26 21:20:02",NULL,NULL,NULL
"NPM","@dojo/interop","5.0.0","2019-01-28 17:20:09","dojo","1.13.0","1.13.0","2017-09-26 21:20:02","4.0.0","1.13.0",NULL
"NPM","@dojo/interop","6.0.0","2019-08-26 08:12:36","dojo","1.13.0","1.13.0","2017-09-26 21:20:02","5.0.0","1.13.0",NULL
"NPM","@dojo/interop","6.0.2","2019-12-11 16:12:40","dojo","1.13.0","1.13.0","2017-09-26 21:20:02","6.0.0","1.13.0",NULL
"NPM","@dojo/interop","7.0.0","2020-05-27 12:30:15","dojo","1.13.0","1.13.0","2017-09-26 21:20:02","6.0.2","1.13.0",NULL
"NPM","dijit","1.10.0","2016-03-03 15:38:58","dojo","1.10.0","1.10.0","2014-06-22 20:13:01",NULL,NULL,NULL
"NPM","dijit","1.10.1","2016-03-03 15:39:17","dojo","1.10.1","1.10.1","2014-09-12 19:11:15","1.10.0","1.10.0","537 days 20:28:02"
"NPM","dijit","1.10.2","2016-03-03 15:40:24","dojo","1.10.2","1.10.2","2014-10-19 22:18:58","1.10.1","1.10.1","500 days 17:21:26"
"NPM","dijit","1.10.3","2016-03-03 15:40:38","dojo","1.10.3","1.10.3","2015-03-16 23:48:25","1.10.2","1.10.2","352 days 15:52:13"
"NPM","dijit","1.10.4","2016-03-03 15:40:50","dojo","1.10.4","1.10.4","2015-03-16 23:48:39","1.10.3","1.10.3","352 days 15:52:11"
"NPM","dijit","1.11.0","2016-03-21 07:04:17","dojo","1.11.0","1.11.0","2016-03-21 07:03:15","1.10.4","1.10.4","-00:01:25"
"NPM","dijit","1.11.1","2016-04-01 15:26:57","dojo","1.11.1","1.11.1","2016-04-01 15:24:44","1.11.0","1.11.0","00:02:13"
"NPM","dijit","1.11.2","2016-06-10 09:32:01","dojo","1.11.2","1.11.2","2016-06-10 09:27:48","1.11.1","1.11.1","00:04:13"
"NPM","dijit","1.11.3","2016-12-19 21:36:58","dojo","1.11.3","1.11.3","2016-12-19 21:33:43","1.11.2","1.11.2","00:03:15"
"NPM","dijit","1.12.1","2016-12-20 21:35:16","dojo","1.12.1","1.12.1","2016-12-20 21:33:21","1.11.3","1.11.3","-74 days -19:42:00"
"NPM","dijit","1.12.2","2017-03-05 17:21:09","dojo","1.12.2","1.12.2","2017-03-05 17:17:54","1.12.1","1.12.1","00:03:15"
"NPM","dijit","1.12.3","2017-09-26 20:55:35","dojo","1.12.3","1.12.3","2017-09-26 20:55:19","1.12.2","1.12.2","00:00:16"
"NPM","dijit","1.13.0","2017-09-26 21:20:57","dojo","1.13.0","1.13.0","2017-09-26 21:20:02","1.12.3","1.12.3","-320 days -07:28:14"
"NPM","dijit","1.14.0","2018-08-11 23:35:54","dojo","1.14.0","1.14.0","2018-08-11 23:27:45","1.13.0","1.13.0","-1 days -05:00:39"
"NPM","dijit","1.14.1","2018-08-30 23:56:58","dojo","1.14.1","1.14.1","2018-08-30 23:56:34","1.14.0","1.14.0","00:00:24"
"NPM","dijit","1.14.2","2018-10-01 23:02:16","dojo","1.14.2","1.14.2","2018-10-01 23:00:58","1.14.1","1.14.1","00:01:18"
"NPM","dijit","1.15.0","2019-02-16 12:18:43","dojo","1.15.0","1.15.0","2019-02-16 12:16:43","1.14.2","1.14.2","-00:36:51"
"NPM","dijit","1.15.1","2019-11-29 15:40:43","dojo","1.15.1","1.15.1","2019-11-29 15:38:28","1.15.0","1.15.0","00:02:15"
"NPM","dijit","1.16.0","2019-11-29 16:23:43","dojo","1.16.0","1.16.0","2019-11-29 16:19:00","1.15.1","1.15.1","-74 days -23:33:08"
"NPM","dijit","1.16.1","2020-02-12 15:59:31","dojo","1.16.1","1.16.1","2020-02-12 15:59:15","1.16.0","1.16.0","00:00:16"
"NPM","dijit","1.16.2","2020-03-10 15:27:37","dojo","1.16.2","1.16.2","2020-03-10 15:26:02","1.16.1","1.16.1","00:01:35"
"NPM","dijit","1.16.3","2020-06-13 12:31:38","dojo","1.16.3","1.16.3","2020-06-13 12:31:04","1.16.2","1.16.2","00:00:34"
"NPM","dijit","1.16.4","2021-03-21 12:31:17","dojo","1.16.4","1.16.4","2021-03-21 12:30:05","1.16.3","1.16.3","00:01:12"
"NPM","dijit","1.16.5","2022-02-20 13:52:01","dojo","1.16.5","1.16.5","2022-02-20 13:51:16","1.16.4","1.16.4","00:00:45"
"NPM","dijit","1.17.0","2022-02-20 14:36:17","dojo","1.17.0","1.17.0","2022-02-20 14:33:09","1.16.5","1.16.5","711 days 23:18:26"
