"system_name","package_name","version_name","release_date","next_version_name","next_version_release_date"
"NPM","dojo","1.6.4","2016-12-19 21:31:30","1.6.5","2017-03-05 17:15:24"
"NPM","dojo","1.6.5","2017-03-05 17:15:24","1.7.11","2016-12-19 21:31:56"
"NPM","dojo","1.7.11","2016-12-19 21:31:56","1.7.12","2017-03-05 17:15:47"
"NPM","dojo","1.7.12","2017-03-05 17:15:47","1.8.13","2016-12-19 21:32:22"
"NPM","dojo","1.8.13","2016-12-19 21:32:22","1.8.14","2017-03-05 17:16:20"
"NPM","dojo","1.8.14","2017-03-05 17:16:20","1.9.1","2013-07-05 20:38:57"
"NPM","dojo","1.9.1","2013-07-05 20:38:57","1.9.2","2013-12-06 22:01:15"
"NPM","dojo","1.9.2","2013-12-06 22:01:15","1.9.3","2014-02-26 23:12:57"
"NPM","dojo","1.9.3","2014-02-26 23:12:57","1.9.4","2014-09-12 19:04:19"
"NPM","dojo","1.9.4","2014-09-12 19:04:19","1.9.5","2014-10-20 08:41:37"
"NPM","dojo","1.9.5","2014-10-20 08:41:37","1.9.6","2016-03-21 07:07:38"
"NPM","dojo","1.9.6","2016-03-21 07:07:38","1.9.7","2016-03-21 07:07:54"
"NPM","dojo","1.9.7","2016-03-21 07:07:54","1.9.8","2016-03-21 07:05:58"
"NPM","dojo","1.9.8","2016-03-21 07:05:58","1.9.9","2016-06-10 09:30:06"
"NPM","dojo","1.9.9","2016-06-10 09:30:06","1.9.10","2016-12-19 21:32:49"
"NPM","dojo","1.9.10","2016-12-19 21:32:49","1.9.11","2017-03-05 17:16:50"
"NPM","dojo","1.9.11","2017-03-05 17:16:50","1.10.0","2014-06-22 20:13:01"
"NPM","dojo","1.10.0","2014-06-22 20:13:01","1.10.1","2014-09-12 19:11:15"
"NPM","dojo","1.10.1","2014-09-12 19:11:15","1.10.2","2014-10-19 22:18:58"
"NPM","dojo","1.10.2","2014-10-19 22:18:58","1.10.3","2015-03-16 23:48:25"
"NPM","dojo","1.10.3","2015-03-16 23:48:25","1.10.4","2015-03-16 23:48:39"
"NPM","dojo","1.10.4","2015-03-16 23:48:39","1.10.5","2016-03-21 07:05:42"
"NPM","dojo","1.10.5","2016-03-21 07:05:42","1.10.6","2016-06-10 09:28:39"
"NPM","dojo","1.10.6","2016-06-10 09:28:39","1.10.7","2016-12-19 21:33:16"
"NPM","dojo","1.10.7","2016-12-19 21:33:16","1.10.8","2017-03-05 17:17:07"
"NPM","dojo","1.10.8","2017-03-05 17:17:07","1.10.9","2017-09-26 22:05:11"
"NPM","dojo","1.10.9","2017-09-26 22:05:11","1.10.10","2018-08-13 05:13:51"
"NPM","dojo","1.10.10","2018-08-13 05:13:51","1.11.0-rc1","2016-02-22 07:14:12"
"NPM","dojo","1.11.0-rc1","2016-02-22 07:14:12","1.11.0-rc3","2016-02-27 17:23:42"
"NPM","dojo","1.11.0-rc3","2016-02-27 17:23:42","1.11.0-rc4","2016-03-08 13:36:10"
"NPM","dojo","1.11.0-rc4","2016-03-08 13:36:10","1.11.0-rc5","2016-03-21 07:07:02"
"NPM","dojo","1.11.0-rc5","2016-03-21 07:07:02","1.11.0","2016-03-21 07:03:15"
"NPM","dojo","1.11.0","2016-03-21 07:03:15","1.11.1","2016-04-01 15:24:44"
"NPM","dojo","1.11.1","2016-04-01 15:24:44","1.11.2","2016-06-10 09:27:48"
"NPM","dojo","1.11.2","2016-06-10 09:27:48","1.11.3","2016-12-19 21:33:43"
"NPM","dojo","1.11.3","2016-12-19 21:33:43","1.11.4","2017-03-05 17:17:16"
"NPM","dojo","1.11.4","2017-03-05 17:17:16","1.11.5","2017-09-26 20:38:48"
"NPM","dojo","1.11.5","2017-09-26 20:38:48","1.11.6","2018-08-13 04:59:24"
"NPM","dojo","1.11.6","2018-08-13 04:59:24","1.11.7","2019-02-16 12:56:47"
"NPM","dojo","1.11.7","2019-02-16 12:56:47","1.11.8","2019-11-29 15:37:31"
"NPM","dojo","1.11.8","2019-11-29 15:37:31","1.11.9","2020-02-12 15:37:43"
"NPM","dojo","1.11.9","2020-02-12 15:37:43","1.11.10","2020-03-10 14:43:18"
"NPM","dojo","1.11.10","2020-03-10 14:43:18","1.11.11","2020-06-13 12:59:54"
"NPM","dojo","1.11.11","2020-06-13 12:59:54","1.11.12","2021-03-21 12:53:18"
"NPM","dojo","1.11.12","2021-03-21 12:53:18","1.11.13","2022-02-20 14:25:55"
"NPM","dojo","1.11.13","2022-02-20 14:25:55","1.12.1","2016-12-20 21:33:21"
"NPM","dojo","1.12.1","2016-12-20 21:33:21","1.12.2","2017-03-05 17:17:54"
"NPM","dojo","1.12.2","2017-03-05 17:17:54","1.12.3","2017-09-26 20:55:19"
"NPM","dojo","1.12.3","2017-09-26 20:55:19","1.12.4","2018-08-13 04:49:11"
"NPM","dojo","1.12.4","2018-08-13 04:49:11","1.12.5","2019-02-16 12:56:26"
"NPM","dojo","1.12.5","2019-02-16 12:56:26","1.12.6","2019-11-29 15:37:46"
"NPM","dojo","1.12.6","2019-11-29 15:37:46","1.12.7","2020-02-12 15:43:33"
"NPM","dojo","1.12.7","2020-02-12 15:43:33","1.12.8","2020-03-10 14:50:28"
"NPM","dojo","1.12.8","2020-03-10 14:50:28","1.12.9","2020-06-13 12:53:58"
"NPM","dojo","1.12.9","2020-06-13 12:53:58","1.12.10","2021-03-21 12:49:38"
"NPM","dojo","1.12.10","2021-03-21 12:49:38","1.12.11","2022-02-20 14:21:06"
"NPM","dojo","1.12.11","2022-02-20 14:21:06","1.13.0","2017-09-26 21:20:02"
"NPM","dojo","1.13.0","2017-09-26 21:20:02","1.13.1","2018-08-13 04:36:33"
"NPM","dojo","1.13.1","2018-08-13 04:36:33","1.13.2","2018-08-31 00:08:52"
