"system_name","package_name","version_name","release_date","next_version_name","next_version_release_date"
"NPM","electron","0.1.0","2012-05-18 23:11:56","0.1.1","2012-05-22 14:37:24"
"NPM","electron","0.1.1","2012-05-22 14:37:24","0.1.2","2012-05-23 22:07:09"
"NPM","electron","0.1.2","2012-05-23 22:07:09","0.2.0","2012-06-11 02:21:27"
"NPM","electron","0.2.0","2012-06-11 02:21:27","0.2.1","2012-06-11 08:15:27"
"NPM","electron","0.2.1","2012-06-11 08:15:27","0.3.0","2012-10-07 17:44:36"
"NPM","electron","0.3.0","2012-10-07 17:44:36","0.4.0","2013-01-21 21:06:57"
"NPM","electron","0.4.0","2013-01-21 21:06:57","0.4.1","2014-12-15 16:00:19"
"NPM","electron","0.4.1","2014-12-15 16:00:19","1.3.1","2016-07-28 16:32:17"
"NPM","electron","1.3.1","2016-07-28 16:32:17","1.3.2","2016-08-02 23:27:42"
"NPM","electron","1.3.2","2016-08-02 23:27:42","1.3.3","2016-08-10 11:09:39"
"NPM","electron","1.3.3","2016-08-10 11:09:39","1.3.4","2016-08-23 10:50:42"
"NPM","electron","1.3.4","2016-08-23 10:50:42","1.3.5","2016-09-02 07:57:18"
"NPM","electron","1.3.5","2016-09-02 07:57:18","1.3.6","2016-09-14 07:18:46"
"NPM","electron","1.3.6","2016-09-14 07:18:46","1.3.7","2016-09-27 10:03:30"
"NPM","electron","1.3.7","2016-09-27 10:03:30","1.3.8","2016-10-20 07:11:51"
"NPM","electron","1.3.8","2016-10-20 07:11:51","1.3.9","2016-11-16 20:57:04"
"NPM","electron","1.3.9","2016-11-16 20:57:04","1.3.10","2016-11-22 19:19:33"
"NPM","electron","1.3.10","2016-11-22 19:19:33","1.3.12","2016-11-28 20:49:25"
"NPM","electron","1.3.12","2016-11-28 20:49:25","1.3.13","2016-12-06 23:53:14"
"NPM","electron","1.3.13","2016-12-06 23:53:14","1.3.14","2017-03-14 18:47:52"
"NPM","electron","1.3.14","2017-03-14 18:47:52","1.3.15","2017-04-21 00:04:48"
"NPM","electron","1.3.15","2017-04-21 00:04:48","1.4.0","2016-09-15 07:25:36"
"NPM","electron","1.4.0","2016-09-15 07:25:36","1.4.1","2016-09-22 11:25:49"
"NPM","electron","1.4.1","2016-09-22 11:25:49","1.4.2","2016-09-30 12:23:01"
"NPM","electron","1.4.2","2016-09-30 12:23:01","1.4.3","2016-10-06 10:08:01"
"NPM","electron","1.4.3","2016-10-06 10:08:01","1.4.4","2016-10-20 02:23:44"
"NPM","electron","1.4.4","2016-10-20 02:23:44","1.4.5","2016-11-01 17:34:44"
"NPM","electron","1.4.5","2016-11-01 17:34:44","1.4.6","2016-11-09 21:26:32"
"NPM","electron","1.4.6","2016-11-09 21:26:32","1.4.7","2016-11-16 18:46:56"
