"system_name","package_name","version_name","release_date","next_version_name","next_version_release_date"
"NPM","protobufjs","0.0.0","2013-03-01 19:05:02","0.9.1","2013-03-05 23:56:42"
"NPM","protobufjs","0.9.1","2013-03-05 23:56:42","0.9.3","2013-03-06 01:26:59"
"NPM","protobufjs","0.9.3","2013-03-06 01:26:59","0.9.4","2013-03-06 13:38:43"
"NPM","protobufjs","0.9.4","2013-03-06 13:38:43","0.9.5","2013-03-11 00:42:48"
"NPM","protobufjs","0.9.5","2013-03-11 00:42:48","0.9.6","2013-03-11 03:15:11"
"NPM","protobufjs","0.9.6","2013-03-11 03:15:11","0.9.7","2013-03-12 13:23:18"
"NPM","protobufjs","0.9.7","2013-03-12 13:23:18","0.9.8","2013-03-15 16:11:55"
"NPM","protobufjs","0.9.8","2013-03-15 16:11:55","0.9.9","2013-03-17 15:34:18"
"NPM","protobufjs","0.9.9","2013-03-17 15:34:18","0.9.10","2013-03-17 20:48:22"
"NPM","protobufjs","0.9.10","2013-03-17 20:48:22","0.9.11","2013-03-17 22:41:01"
"NPM","protobufjs","0.9.11","2013-03-17 22:41:01","0.9.12","2013-03-18 21:27:47"
"NPM","protobufjs","0.9.12","2013-03-18 21:27:47","0.9.13","2013-03-19 13:45:03"
"NPM","protobufjs","0.9.13","2013-03-19 13:45:03","0.10.0","2013-03-19 20:33:03"
"NPM","protobufjs","0.10.0","2013-03-19 20:33:03","0.11.0","2013-03-19 21:56:36"
"NPM","protobufjs","0.11.0","2013-03-19 21:56:36","0.11.1","2013-03-19 23:23:14"
"NPM","protobufjs","0.11.1","2013-03-19 23:23:14","0.11.2","2013-03-20 11:58:29"
"NPM","protobufjs","0.11.2","2013-03-20 11:58:29","0.12.0","2013-03-21 00:42:16"
"NPM","protobufjs","0.12.0","2013-03-21 00:42:16","0.12.1","2013-03-21 12:21:58"
"NPM","protobufjs","0.12.1","2013-03-21 12:21:58","0.12.2","2013-03-23 16:53:37"
"NPM","protobufjs","0.12.2","2013-03-23 16:53:37","0.12.3","2013-04-03 12:58:41"
"NPM","protobufjs","0.12.3","2013-04-03 12:58:41","0.12.4","2013-04-11 12:54:29"
"NPM","protobufjs","0.12.4","2013-04-11 12:54:29","0.12.5","2013-04-11 18:17:19"
"NPM","protobufjs","0.12.5","2013-04-11 18:17:19","0.12.6","2013-04-11 19:11:12"
"NPM","protobufjs","0.12.6","2013-04-11 19:11:12","0.12.7","2013-04-12 13:14:29"
"NPM","protobufjs","0.12.7","2013-04-12 13:14:29","0.12.8","2013-04-24 12:39:49"
"NPM","protobufjs","0.12.8","2013-04-24 12:39:49","0.12.9","2013-05-12 13:58:50"
"NPM","protobufjs","0.12.9","2013-05-12 13:58:50","0.12.10","2013-05-13 21:03:40"
"NPM","protobufjs","0.12.10","2013-05-13 21:03:40","0.12.11","2013-05-13 22:09:47"
"NPM","protobufjs","0.12.11","2013-05-13 22:09:47","0.12.12","2013-05-14 13:13:07"
"NPM","protobufjs","0.12.12","2013-05-14 13:13:07","0.12.13","2013-05-14 16:17:56"
"NPM","protobufjs","0.12.13","2013-05-14 16:17:56","1.0.0-b1","2013-05-28 18:53:25"
"NPM","protobufjs","1.0.0-b1","2013-05-28 18:53:25","1.0.0-b2","2013-05-29 11:51:07"
"NPM","protobufjs","1.0.0-b2","2013-05-29 11:51:07","1.0.0-b4","2013-06-02 15:24:00"
"NPM","protobufjs","1.0.0-b4","2013-06-02 15:24:00","1.0.0-b5","2013-06-12 14:27:43"
"NPM","protobufjs","1.0.0-b5","2013-06-12 14:27:43","1.0.0-b6","2013-06-26 18:24:32"
"NPM","protobufjs","1.0.0-b6","2013-06-26 18:24:32","1.0.0","2013-06-27 14:54:07"
"NPM","protobufjs","1.0.0","2013-06-27 14:54:07","1.0.1","2013-06-30 23:02:33"
"NPM","protobufjs","1.0.1","2013-06-30 23:02:33","1.0.2","2013-07-01 15:41:51"
"NPM","protobufjs","1.0.2","2013-07-01 15:41:51","1.0.3","2013-07-01 16:46:08"
"NPM","protobufjs","1.0.3","2013-07-01 16:46:08","1.0.4","2013-07-03 14:30:24"
"NPM","protobufjs","1.0.4","2013-07-03 14:30:24","1.1.0","2013-07-03 23:32:58"
"NPM","protobufjs","1.1.0","2013-07-03 23:32:58","1.1.1","2013-07-11 16:34:06"
"NPM","protobufjs","1.1.1","2013-07-11 16:34:06","1.1.2","2013-07-11 17:15:27"
"NPM","protobufjs","1.1.2","2013-07-11 17:15:27","1.1.3","2013-07-11 20:51:22"
"NPM","protobufjs","1.1.3","2013-07-11 20:51:22","1.1.4","2013-07-13 16:35:21"
"NPM","protobufjs","1.1.4","2013-07-13 16:35:21","1.1.6","2013-08-08 23:35:59"
"NPM","protobufjs","1.1.6","2013-08-08 23:35:59","1.1.7","2013-10-12 13:00:18"
"NPM","protobufjs","1.1.7","2013-10-12 13:00:18","1.1.8","2013-10-20 01:27:46"
"NPM","protobufjs","1.1.8","2013-10-20 01:27:46","1.1.9","2013-10-21 02:00:37"
"NPM","protobufjs","1.1.9","2013-10-21 02:00:37","1.3.0","2013-11-07 15:43:57"
"NPM","protobufjs","1.3.0","2013-11-07 15:43:57","1.3.1","2013-11-10 19:51:32"
"NPM","protobufjs","1.3.1","2013-11-10 19:51:32","1.3.2","2013-11-10 20:11:16"
"NPM","protobufjs","1.3.2","2013-11-10 20:11:16","1.5.0","2013-11-17 17:53:59"
"NPM","protobufjs","1.5.0","2013-11-17 17:53:59","1.5.1","2013-11-18 15:35:19"
"NPM","protobufjs","1.5.1","2013-11-18 15:35:19","2.0.0-rc1","2013-11-28 16:58:23"
"NPM","protobufjs","2.0.0-rc1","2013-11-28 16:58:23","2.0.0-rc2","2013-11-28 23:07:31"
"NPM","protobufjs","2.0.0-rc2","2013-11-28 23:07:31","2.0.0-rc4","2013-12-08 01:01:52"
"NPM","protobufjs","2.0.0-rc4","2013-12-08 01:01:52","2.0.0","2013-12-18 00:23:22"
"NPM","protobufjs","2.0.0","2013-12-18 00:23:22","2.0.1","2013-12-20 01:31:06"
"NPM","protobufjs","2.0.1","2013-12-20 01:31:06","2.0.2","2013-12-27 23:54:33"
"NPM","protobufjs","2.0.2","2013-12-27 23:54:33","2.0.3","2014-01-02 21:11:44"
"NPM","protobufjs","2.0.3","2014-01-02 21:11:44","2.0.4","2014-01-18 16:24:29"
"NPM","protobufjs","2.0.4","2014-01-18 16:24:29","2.0.5","2014-02-11 17:13:28"
"NPM","protobufjs","2.0.5","2014-02-11 17:13:28","2.2.1","2014-06-04 12:32:59"
"NPM","protobufjs","2.2.1","2014-06-04 12:32:59","3.0.0","2014-06-28 02:32:12"
"NPM","protobufjs","3.0.0","2014-06-28 02:32:12","3.2.0","2014-07-17 23:02:18"
"NPM","protobufjs","3.2.0","2014-07-17 23:02:18","3.2.1","2014-07-25 15:40:03"
"NPM","protobufjs","3.2.1","2014-07-25 15:40:03","3.2.2","2014-07-28 14:30:42"
"NPM","protobufjs","3.2.2","2014-07-28 14:30:42","3.2.4","2014-08-07 14:18:43"
"NPM","protobufjs","3.2.4","2014-08-07 14:18:43","3.3.0","2014-08-12 23:22:58"
"NPM","protobufjs","3.3.0","2014-08-12 23:22:58","3.3.1","2014-08-14 20:28:03"
"NPM","protobufjs","3.3.1","2014-08-14 20:28:03","3.4.0","2014-08-15 02:20:20"
"NPM","protobufjs","3.4.0","2014-08-15 02:20:20","3.4.1","2014-08-22 02:12:24"
"NPM","protobufjs","3.4.1","2014-08-22 02:12:24","3.5.1","2014-08-24 19:39:56"
"NPM","protobufjs","3.5.1","2014-08-24 19:39:56","3.5.2","2014-08-24 21:39:43"
"NPM","protobufjs","3.5.2","2014-08-24 21:39:43","3.5.4","2014-08-26 00:51:34"
"NPM","protobufjs","3.5.4","2014-08-26 00:51:34","3.5.5","2014-08-26 15:49:35"
"NPM","protobufjs","3.5.5","2014-08-26 15:49:35","3.6.0","2014-08-26 20:15:10"
"NPM","protobufjs","3.6.0","2014-08-26 20:15:10","3.7.0","2014-10-14 14:50:15"
"NPM","protobufjs","3.7.0","2014-10-14 14:50:15","3.8.0","2014-10-29 15:54:25"
"NPM","protobufjs","3.8.0","2014-10-29 15:54:25","3.8.1","2014-11-11 16:30:06"
"NPM","protobufjs","3.8.1","2014-11-11 16:30:06","3.8.2","2014-11-24 17:10:14"
"NPM","protobufjs","3.8.2","2014-11-24 17:10:14","4.0.0-b2","2015-03-13 00:48:41"
"NPM","protobufjs","4.0.0-b2","2015-03-13 00:48:41","4.0.0-b3","2015-06-02 14:05:32"
"NPM","protobufjs","4.0.0-b3","2015-06-02 14:05:32","4.0.0-b4","2015-06-09 00:01:48"
"NPM","protobufjs","4.0.0-b4","2015-06-09 00:01:48","4.0.0-b5","2015-06-12 16:28:42"
"NPM","protobufjs","4.0.0-b5","2015-06-12 16:28:42","4.0.0","2015-06-25 15:50:47"
"NPM","protobufjs","4.0.0","2015-06-25 15:50:47","4.1.0","2015-09-27 14:43:35"
"NPM","protobufjs","4.1.0","2015-09-27 14:43:35","4.1.1","2015-09-28 13:28:58"
"NPM","protobufjs","4.1.1","2015-09-28 13:28:58","4.1.2","2015-10-14 16:23:01"
"NPM","protobufjs","4.1.2","2015-10-14 16:23:01","4.1.3","2015-11-17 00:56:15"
"NPM","protobufjs","4.1.3","2015-11-17 00:56:15","5.0.0","2015-11-16 23:21:20"
"NPM","protobufjs","5.0.0","2015-11-16 23:21:20","5.0.1","2016-01-06 00:35:41"
