"system_name","package_name","version_name","release_date","next_version_name","next_version_release_date"
"NPM","swagger-ui","0.1.11","2013-02-20 16:53:49","0.1.12","2013-03-06 05:11:06"
"NPM","swagger-ui","0.1.12","2013-03-06 05:11:06","0.1.13","2013-03-08 14:20:06"
"NPM","swagger-ui","0.1.13","2013-03-08 14:20:06","0.1.14","2013-05-30 08:25:44"
"NPM","swagger-ui","0.1.14","2013-05-30 08:25:44","1.1.15","2013-06-26 15:06:03"
"NPM","swagger-ui","1.1.15","2013-06-26 15:06:03","2.0.1","2013-08-30 00:16:22"
"NPM","swagger-ui","2.0.1","2013-08-30 00:16:22","2.0.2","2013-09-26 23:24:43"
"NPM","swagger-ui","2.0.2","2013-09-26 23:24:43","2.0.3","2013-11-30 06:08:49"
"NPM","swagger-ui","2.0.3","2013-11-30 06:08:49","2.0.4","2014-01-24 04:40:53"
"NPM","swagger-ui","2.0.4","2014-01-24 04:40:53","2.0.5","2014-02-03 16:28:43"
"NPM","swagger-ui","2.0.5","2014-02-03 16:28:43","2.0.6","2014-02-04 06:29:50"
"NPM","swagger-ui","2.0.6","2014-02-04 06:29:50","2.0.8","2014-02-13 22:12:02"
"NPM","swagger-ui","2.0.8","2014-02-13 22:12:02","2.0.10","2014-02-16 16:27:21"
"NPM","swagger-ui","2.0.10","2014-02-16 16:27:21","2.0.11","2014-02-19 19:17:54"
"NPM","swagger-ui","2.0.11","2014-02-19 19:17:54","2.0.12","2014-02-19 19:49:47"
"NPM","swagger-ui","2.0.12","2014-02-19 19:49:47","2.0.13","2014-03-05 07:30:43"
"NPM","swagger-ui","2.0.13","2014-03-05 07:30:43","2.0.14","2014-03-19 15:28:56"
"NPM","swagger-ui","2.0.14","2014-03-19 15:28:56","2.0.15","2014-04-28 04:36:19"
"NPM","swagger-ui","2.0.15","2014-04-28 04:36:19","2.0.16","2014-04-29 18:13:38"
"NPM","swagger-ui","2.0.16","2014-04-29 18:13:38","2.0.17","2014-05-14 13:50:57"
"NPM","swagger-ui","2.0.17","2014-05-14 13:50:57","2.0.18","2014-07-13 03:30:29"
"NPM","swagger-ui","2.0.18","2014-07-13 03:30:29","2.0.19","2014-08-02 00:40:20"
"NPM","swagger-ui","2.0.19","2014-08-02 00:40:20","2.0.20","2014-08-02 16:30:36"
"NPM","swagger-ui","2.0.20","2014-08-02 16:30:36","2.0.21","2014-08-02 22:24:21"
"NPM","swagger-ui","2.0.21","2014-08-02 22:24:21","2.0.22","2014-08-12 14:11:50"
"NPM","swagger-ui","2.0.22","2014-08-12 14:11:50","2.0.24","2014-11-27 17:20:50"
"NPM","swagger-ui","2.0.24","2014-11-27 17:20:50","2.1.0-M1","2015-02-01 10:32:28"
"NPM","swagger-ui","2.1.0-M1","2015-02-01 10:32:28","2.1.0-M2","2015-03-30 14:31:13"
"NPM","swagger-ui","2.1.0-M2","2015-03-30 14:31:13","2.1.0-alpha.1","2014-10-06 20:04:09"
"NPM","swagger-ui","2.1.0-alpha.1","2014-10-06 20:04:09","2.1.0-alpha.2","2014-10-16 16:11:10"
"NPM","swagger-ui","2.1.0-alpha.2","2014-10-16 16:11:10","2.1.0-alpha.3","2014-10-18 23:09:09"
"NPM","swagger-ui","2.1.0-alpha.3","2014-10-18 23:09:09","2.1.0-alpha.4","2014-11-11 08:17:28"
"NPM","swagger-ui","2.1.0-alpha.4","2014-11-11 08:17:28","2.1.0-alpha.5","2014-11-18 01:03:43"
"NPM","swagger-ui","2.1.0-alpha.5","2014-11-18 01:03:43","2.1.0-alpha.6","2014-11-22 18:15:37"
"NPM","swagger-ui","2.1.0-alpha.6","2014-11-22 18:15:37","2.1.0-alpha.7","2014-11-26 18:12:17"
"NPM","swagger-ui","2.1.0-alpha.7","2014-11-26 18:12:17","2.1.0-alpha.8","2015-01-29 20:18:56"
"NPM","swagger-ui","2.1.0-alpha.8","2015-01-29 20:18:56","2.1.0","2015-06-06 22:36:14"
"NPM","swagger-ui","2.1.0","2015-06-06 22:36:14","2.1.1-M1","2015-02-03 04:26:49"
"NPM","swagger-ui","2.1.1-M1","2015-02-03 04:26:49","2.1.1-M2","2015-04-16 19:31:45"
"NPM","swagger-ui","2.1.1-M2","2015-04-16 19:31:45","2.1.1","2015-07-23 04:31:16"
"NPM","swagger-ui","2.1.1","2015-07-23 04:31:16","2.1.2-M1","2015-02-09 18:27:10"
"NPM","swagger-ui","2.1.2-M1","2015-02-09 18:27:10","2.1.2-M2","2015-05-08 22:43:14"
"NPM","swagger-ui","2.1.2-M2","2015-05-08 22:43:14","2.1.2","2015-08-20 05:52:48"
"NPM","swagger-ui","2.1.2","2015-08-20 05:52:48","2.1.3-M1","2015-02-12 05:45:43"
"NPM","swagger-ui","2.1.3-M1","2015-02-12 05:45:43","2.1.3-M2","2015-05-13 11:32:20"
"NPM","swagger-ui","2.1.3-M2","2015-05-13 11:32:20","2.1.3","2015-09-19 19:05:31"
"NPM","swagger-ui","2.1.3","2015-09-19 19:05:31","2.1.4-M1","2015-02-12 19:32:33"
"NPM","swagger-ui","2.1.4-M1","2015-02-12 19:32:33","2.1.4-M2","2015-05-13 12:54:22"
"NPM","swagger-ui","2.1.4-M2","2015-05-13 12:54:22","2.1.4","2016-01-06 22:17:00"
"NPM","swagger-ui","2.1.4","2016-01-06 22:17:00","2.1.5-M1","2015-02-19 05:46:53"
"NPM","swagger-ui","2.1.5-M1","2015-02-19 05:46:53","2.1.5-M2","2015-05-14 13:01:08"
"NPM","swagger-ui","2.1.5-M2","2015-05-14 13:01:08","2.1.5","2016-07-21 19:09:31"
"NPM","swagger-ui","2.1.5","2016-07-21 19:09:31","2.1.6-M1","2015-02-20 07:05:00"
"NPM","swagger-ui","2.1.6-M1","2015-02-20 07:05:00","2.1.7-M1","2015-02-21 08:50:11"
"NPM","swagger-ui","2.1.7-M1","2015-02-21 08:50:11","2.1.8-M1","2015-02-22 07:59:33"
"NPM","swagger-ui","2.1.8-M1","2015-02-22 07:59:33","2.2.0","2016-08-10 13:47:28"
"NPM","swagger-ui","2.2.0","2016-08-10 13:47:28","2.2.2","2016-08-30 21:54:33"
"NPM","swagger-ui","2.2.2","2016-08-30 21:54:33","2.2.3","2016-09-01 16:17:51"
"NPM","swagger-ui","2.2.3","2016-09-01 16:17:51","2.2.4","2016-09-20 16:51:55"
"NPM","swagger-ui","2.2.4","2016-09-20 16:51:55","2.2.5","2016-09-27 01:53:26"
"NPM","swagger-ui","2.2.5","2016-09-27 01:53:26","2.2.6","2016-10-14 16:55:06"
"NPM","swagger-ui","2.2.6","2016-10-14 16:55:06","2.2.8","2016-11-24 07:48:01"
"NPM","swagger-ui","2.2.8","2016-11-24 07:48:01","2.2.9","2017-01-05 01:56:58"
"NPM","swagger-ui","2.2.9","2017-01-05 01:56:58","2.2.10","2017-01-05 08:57:37"
"NPM","swagger-ui","2.2.10","2017-01-05 08:57:37","3.0.0","2017-03-18 04:52:33"
"NPM","swagger-ui","3.0.0","2017-03-18 04:52:33","3.0.1","2017-03-18 20:34:04"
"NPM","swagger-ui","3.0.1","2017-03-18 20:34:04","3.0.2","2017-03-20 02:34:54"
"NPM","swagger-ui","3.0.2","2017-03-20 02:34:54","3.0.3","2017-03-25 08:04:02"
"NPM","swagger-ui","3.0.3","2017-03-25 08:04:02","3.0.4","2017-04-01 02:30:12"
"NPM","swagger-ui","3.0.4","2017-04-01 02:30:12","3.0.5","2017-04-08 04:49:07"
"NPM","swagger-ui","3.0.5","2017-04-08 04:49:07","3.0.6","2017-04-15 04:14:31"
"NPM","swagger-ui","3.0.6","2017-04-15 04:14:31","3.0.7","2017-04-22 03:00:33"
"NPM","swagger-ui","3.0.7","2017-04-22 03:00:33","3.0.8","2017-04-29 03:18:01"
"NPM","swagger-ui","3.0.8","2017-04-29 03:18:01","3.0.9","2017-05-06 03:09:55"
"NPM","swagger-ui","3.0.9","2017-05-06 03:09:55","3.0.10","2017-05-14 08:32:00"
"NPM","swagger-ui","3.0.10","2017-05-14 08:32:00","3.0.11","2017-05-20 03:32:23"
"NPM","swagger-ui","3.0.11","2017-05-20 03:32:23","3.0.12","2017-05-27 02:48:47"
"NPM","swagger-ui","3.0.12","2017-05-27 02:48:47","3.0.13","2017-06-03 07:46:21"
"NPM","swagger-ui","3.0.13","2017-06-03 07:46:21","3.0.14","2017-06-10 04:44:16"
"NPM","swagger-ui","3.0.14","2017-06-10 04:44:16","3.0.15","2017-06-17 02:31:25"
"NPM","swagger-ui","3.0.15","2017-06-17 02:31:25","3.0.16","2017-06-17 16:20:47"
"NPM","swagger-ui","3.0.16","2017-06-17 16:20:47","3.0.17","2017-06-24 04:45:20"
