"system_name","package_name","version_name","release_date","next_version_name","next_version_release_date"
"NPM","urijs","1.16.1","2015-09-19 15:21:45","1.17.0","2015-11-13 10:20:50"
"NPM","urijs","1.17.0","2015-11-13 10:20:50","1.17.1","2016-02-25 10:06:35"
"NPM","urijs","1.17.1","2016-02-25 10:06:35","1.18.0","2016-04-30 09:27:13"
"NPM","urijs","1.18.0","2016-04-30 09:27:13","1.18.1","2016-05-29 16:43:29"
"NPM","urijs","1.18.1","2016-05-29 16:43:29","1.18.2","2016-09-25 19:59:43"
"NPM","urijs","1.18.2","2016-09-25 19:59:43","1.18.3","2016-11-17 22:13:15"
"NPM","urijs","1.18.3","2016-11-17 22:13:15","1.18.4","2016-12-04 18:14:43"
"NPM","urijs","1.18.4","2016-12-04 18:14:43","1.18.5","2017-01-30 10:05:40"
"NPM","urijs","1.18.5","2017-01-30 10:05:40","1.18.6","2017-02-10 11:57:52"
"NPM","urijs","1.18.6","2017-02-10 11:57:52","1.18.7","2017-02-13 17:42:29"
"NPM","urijs","1.18.7","2017-02-13 17:42:29","1.18.8","2017-02-27 20:31:55"
"NPM","urijs","1.18.8","2017-02-27 20:31:55","1.18.9","2017-03-06 10:58:38"
"NPM","urijs","1.18.9","2017-03-06 10:58:38","1.18.10","2017-03-30 09:09:41"
"NPM","urijs","1.18.10","2017-03-30 09:09:41","1.18.11","2017-08-08 21:02:53"
"NPM","urijs","1.18.11","2017-08-08 21:02:53","1.18.12","2017-08-10 18:38:02"
"NPM","urijs","1.18.12","2017-08-10 18:38:02","1.19.0","2017-10-01 13:23:14"
"NPM","urijs","1.19.0","2017-10-01 13:23:14","1.19.1","2018-02-10 15:33:51"
"NPM","urijs","1.19.1","2018-02-10 15:33:51","1.19.2","2019-10-20 14:53:32"
"NPM","urijs","1.19.2","2019-10-20 14:53:32","1.19.3","2020-12-20 11:59:24"
"NPM","urijs","1.19.3","2020-12-20 11:59:24","1.19.4","2020-12-23 15:55:59"
"NPM","urijs","1.19.4","2020-12-23 15:55:59","1.19.5","2020-12-30 20:48:43"
"NPM","urijs","1.19.5","2020-12-30 20:48:43","1.19.6","2021-02-13 15:26:16"
"NPM","urijs","1.19.6","2021-02-13 15:26:16","1.19.7","2021-07-14 16:23:29"
"NPM","urijs","1.19.7","2021-07-14 16:23:29","1.19.8","2022-02-15 08:33:39"
"NPM","urijs","1.19.8","2022-02-15 08:33:39","1.19.9","2022-03-03 10:19:24"
"NPM","urijs","1.19.9","2022-03-03 10:19:24","1.19.10","2022-03-05 15:17:11"
"NPM","urijs","1.19.10","2022-03-05 15:17:11","1.19.11","2022-04-03 09:30:59"
"NPM","urijs","1.19.11","2022-04-03 09:30:59",NULL,NULL
