repo_name,dependencies
facebook/react,"uglify-js, @babel/core, @babel/preset-react, uglifyjs, babel-core, babel-preset-react"
vercel/next.js,"@apollo/react-hooks, @apollo/react-ssr, @testing-library/jest-dom, @emotion/react, @emotion/babel-plugin, @emotion/css, @emotion/server, react-dom, react, @babel/preset-stage-0, apollo-boost, @storybook/addon-essentials, apollo-cache-inmemory, apollo-client, apollo-link-http, @apollo/client, sass, styletron-engine-atomic, @sentry/browser, @emotion/core, @emotion/styled, @testing-library/react, jest, @koa/router, @chakra-ui/react, @babel/plugin-syntax-jsx, typescript, @hapi/hapi, react-apollo, jest, @emotion/core, babel-plugin-emotion, preact-compat, babel-preset-stage-0, apollo-client-preset, @storybook/addon-actions, @storybook/addons, apollo-boost, apollo-client, node-sass, @zeit/next-sass, styletron-client, styletron-server, raven-js, emotion, react-emotion, emotion-server, react-testing-library, jest-cli, koa-router, @chakra-ui/core, babel-plugin-syntax-jsx, @babel/preset-env, @apollo/react-hooks, apollo-cache-inmemory, apollo-link-http, hapi, react-test-renderer"
nodejs/node,"@typescript-eslint/parser, @mysticatea/eslint-plugin, tslint, babel-preset-env, unicode-12.0.0, unicode-11.0.0, unicode-9.0.0, typescript-eslint-parser, eslint-plugin-mysticatea, eslint, @babel/preset-env, unicode-11.0.0, unicode-10.0.0, unicode-7.0.0"
facebook/create-react-app,"eslint-webpack-plugin, prompts, open, @docusaurus/core, @docusaurus/preset-classic, eslint-loader, inquirer, opn, docusaurus"
callemall/material-ui,"@types/react, typescript, @types/react-dom, @material-ui/pickers, @material-ui/core, fast-glob, @babel/plugin-transform-react-constant-elements, cross-fetch, react-scripts, preact-compat, @material-ui/icons, @popperjs/core, @emotion/react, clsx, webpack-dev-server, webpack, react-transition-group, @babel/preset-env, @babel/plugin-transform-runtime, @babel/plugin-transform-modules-commonjs, @babel/cli, @rollup/plugin-node-resolve, tslint, lint-staged, tslint-config-prettier, prop-types, material-ui-pickers, material-ui, @types/glob, babel-plugin-transform-react-constant-elements, isomorphic-fetch, eslint-plugin-react, mini-css-extract-plugin, babel-preset-react-app, eslint-config-react-app, react-dev-utils, react, react-dom, material-ui-icons, popper.js, @emotion/core, react-scripts-ts, classnames, gulp, gulp-sourcemaps, gulp-util, react-addons-css-transition-group, babel-preset-env, babel-plugin-transform-runtime, babel-plugin-transform-es2015-modules-commonjs, babel-cli, rollup-plugin-node-resolve, eslint, eslint-plugin-import, eslint-config-airbnb, glob"
kadirahq/react-storybook,"lodash-es, open, @babel/plugin-external-helpers, lodash, @storybook/addon-docs, @storybook/addon-links, html-webpack-plugin, webpack, react-test-renderer, react-colorful, @babel/core, @babel/preset-env, @babel/preset-react, @babel/runtime, @babel/plugin-transform-regenerator, @babel/plugin-transform-runtime, @babel/preset-stage-0, prompts, jest, babel-preset-react, @babel/cli, @storybook/react, babel-preset-expo, @emotion/core, @emotion/styled, terser-webpack-plugin, puppeteer-core, @reach/router, lit, lodash, opn, babel-plugin-external-helpers, lodash.pick, lodash.isequal, lodash.sortby, lodash.debounce, lodash.throttle, @storybook/addon-info, @storybook/addon-options, lodash.mergewith, parcel-bundler, react-addons-test-utils, react-color, babel-core, babel-preset-env, babel-preset-react, babel-runtime, babel-plugin-transform-regenerator, babel-plugin-transform-runtime, babel-preset-stage-0, inquirer, karma-coverage-istanbul-reporter, @babel/preset-react, babel-cli, @kadira/storybook, react-native-scripts, jest-expo, react-test-renderer, emotion, react-emotion, uglifyjs-webpack-plugin, puppeteer, react-router-dom, react-router, lit-element"
supabase/monorepo,"@babel/preset-env, babel-preset-env"
Strapi/strapi,"react-router-dom, react-router"
mistercrunch/panoramix,"webpack-cli, mini-css-extract-plugin, babel-plugin-dynamic-import-node, @babel/core, @babel/cli, @babel/register, @babel/polyfill, extract-text-webpack-plugin, @babel/plugin-syntax-dynamic-import, jest, @babel/preset-env, terser-webpack-plugin, babel-eslint, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, extract-text-webpack-plugin, babel-core, babel-cli, babel-register, babel-polyfill, mini-css-extract-plugin, babel-plugin-syntax-dynamic-import, mocha, babel-preset-env, uglifyjs-webpack-plugin, webpack-manifest-plugin, chai, tslint, tslint-react"
reactjs/redux,"react-scripts, webpack-dev-middleware, webpack-hot-middleware, react-transform-hmr, enzyme-adapter-react-16, react-router-dom, react-router-redux, babel-preset-react, webpack-dev-server, react-transform-webpack-hmr, react-addons-test-utils, react-test-renderer, react-router, react-router-redux, redux-router"
gatsbyjs/gatsby,"jest, eslint-plugin-react, @babel/core, uglifyjs-webpack-plugin, @babel/preset-env, @babel/preset-flow, @babel/types, @babel/plugin-proposal-class-properties, @babel/traverse, @babel/preset-react, gatsby-plugin-mdx, @mdx-js/react, terser-webpack-plugin, @babel/preset-typescript, theme-ui, gatsby-plugin-image, react-transition-group, webpack-merge, mini-css-extract-plugin, babel-eslint, @babel/plugin-syntax-dynamic-import, babel-plugin-dynamic-import-node, eslint-webpack-plugin, lodash-es, eslint, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, eslint-config-prettier, eslint-plugin-prettier, @emotion/react, joi, @graphql-tools/utils, @graphql-tools/wrap, deepmerge, @emotion/core, @emotion/styled, @testing-library/jest-dom, @testing-library/react, @hapi/joi, css-minimizer-webpack-plugin, @reach/router, date-fns, @babel/parser, @babel/runtime, @babel/cli, @babel/polyfill, @babel/code-frame, styletron-engine-atomic, lodash.merge, cross-fetch, lodash.camelcase, lodash.isstring, react, react-dom, babel-jest, got, react, react-dom, babel-preset-env, extract-text-webpack-plugin, babel-preset-es2015, babel-preset-react, babylon, gatsby-mdx, @mdx-js/tag, uglifyjs-webpack-plugin, ts-loader, emotion-theming, babel-types, gatsby-image, react-addons-css-transition-group, babel-plugin-transform-object-rest-spread, eslint-loader, webpack, lodash, tslint, tslint-config-prettier, tslint-react, @emotion/core, @hapi/joi, @types/hapi__joi, graphql-tools, lodash.merge, emotion-server, jest-dom, react-testing-library, joi, optimize-css-assets-webpack-plugin, react-emotion, react-router-dom, react-router, moment, babel-runtime, babel-cli, babel-polyfill, babel-code-frame, babel-traverse, styletron-client, styletron-server, isomorphic-fetch, eslint-plugin-react, jest-cli, request"
facebook/Docusaurus,"css-minimizer-webpack-plugin, @babel/plugin-syntax-dynamic-import, prompts, joi, clsx, terser-webpack-plugin, lodash.groupby, lodash.kebabcase, webpack-dev-server, lodash, lodash.isstring, lodash.has, lodash.isplainobject, lodash.camelcase, @babel/preset-env, @babel/preset-react, @babel/polyfill, @babel/register, @babel/traverse, optimize-css-assets-webpack-plugin, babel-plugin-syntax-dynamic-import, inquirer, @hapi/joi, @types/hapi__joi, classnames, uglifyjs-webpack-plugin, lodash, webpack-serve, lodash.camelcase, lodash.kebabcase, lodash.groupby, lodash.has, lodash.isstring, babel-preset-env, babel-preset-react, babel-polyfill, babel-register, babel-traverse, lodash.pickby, lodash.pick, lodash.sortby"
nuxt/nuxt.js,"nuxt, @vue/test-utils, terser-webpack-plugin, nuxt-edge, vue-test-utils, uglifyjs-webpack-plugin"
ReactTraining/react-router,"@babel/preset-env, @babel/preset-react, babel-preset-env, babel-preset-react"
Semantic-Org/Semantic-UI,"grunt-contrib-jshint, grunt-contrib-nodeunit, grunt-contrib-watch, urun"
driftyco/ionic,"@testing-library/react, react-testing-library"
jlongster/prettier,"lodash, lodash.groupby"
facebook/jest,"@testing-library/react, make-dir, @babel/plugin-transform-async-to-generator, jest, react-dom, fast-json-stable-stringify, react-testing-library, mkdirp, babel-plugin-transform-async-to-generator, jest-cli, react-tools, json-stable-stringify"
parcel-bundler/parcel,"uglify-es, open, fast-glob, sass, uglify-js, opn, glob, node-sass"
