repo_name,dependencies
ansible/ansible,"pytest, boto3, cryptography, botocore, six, unittest, boto, pycryptodome, nose, configparser"
fchollet/keras,"pytest, unittest"
ApacheInfra/superset,"click, urllib, Flask, requests"
scikit-learn/scikit-learn,"numpy, unittest, scikit-learn, sklearn, scipy, nose, scikit-cuda, scikits.audiolab, scikits.cuda, scikits.samplerate, scikits.statsmodels"
scrapy/scrapy,"botocore, boto"
soimort/you-get,"urllib, http, requests"
getsentry/sentry,"requests, urllib2, simplejson, sentry-sdk, requests-oauthlib, urllib2, urllib, json, raven, httplib, python-oauth2, requests-oauth2, oauth2, algoliasearch-django, django"
psf/black,"regex, dataclasses, re, attr, attrs"
apache/airflow,"Flask, unittest, pytest, google, flask, mock, unittest, oauth2client"
streamlit/streamlit,"requests, unittest, aiohttp, urllib, mock, websockets"
httpie/httpie,"unittest, mock"
certbot/certbot,"requests, cryptography, pytest, six, urllib2, pycryptodome, nose"
facebookresearch/detectron2,"unittest, mock"
explosion/spaCy,"requests, regex, ujson, urllib, urllib2, re, json"
tqdm/tqdm,"pytest, nose"
freqtrade/freqtrade,"plotly, pathlib, python-rapidjson, arrow, matplotlib, matplotlib-venn, os, json, ujson, time"
PyTorchLightning/pytorch-lightning,"csv, pandas"
StevenBlack/hosts,"requests, urllib"
mindsdb/mindsdb,"pytest, requests, unittest, urllib3"
getredash/redash,"Flask, flask, sentry-sdk, django, requests, flask, tornado, raven, redis, httplib2"
python-telegram-bot/python-telegram-bot,"files, future, file, urllib2"
locustio/locust,"configargparse, event, argparse, events"
celery/celery,"unittest2, click, cryptography, json, unittest, unittest, argparse, pyopenssl, anyjson, case"
cookiecutter/cookiecutter,"ruamel.yaml, ruamel.yaml.clib, pyyaml"
plotly/dash,"pytest, future, unittest, six"
zulip/zulip,"boto3, json, requests, orjson, botocore, responses, ujson, urllib, pathlib, typing-extensions, boto, ujson, unirest, httpretty, json, simplejson, six, pathlib2, mypy_extensions"
jina-ai/jina,"pathlib, os"
matplotlib/matplotlib,"numpy, urllib2, pytest, backports, setuptools-scm, setuptools_scm, scipy, urllib, nose, functools32, setuptools"
kovidgoyal/calibre,"lxml, beautifulsoup"
magenta/magenta,"skimage, scipy"
huggingface/nlp,"multiprocess, multiprocessing"
frappe/erpnext,"six, urllib"
RasaHQ/rasa,"ruamel.yaml, ruamel.yaml.clib, ruamel.base, ruamel.ordereddict, sanic, aio-pika, pyyaml, flask, pika"
mlflow/mlflow,"unittest, tempfile, urllib, mock, os, six"
ankitects/anki,"nose2, requests, nose, httplib2, http"
torchbox/wagtail,"unittest, six, algoliasearch-django, django, mock, urllib, urllib2, six"
spotify/luigi,"boto3, botocore, google, tornado, boto, oauth2client, cherrypy"
joke2k/faker,"pytest, text-unidecode, unittest, unidecode"
spotdl/spotify-downloader,"argparse, asyncio, requests, sys, multiprocessing, logging"
ipython/ipython,"pathlib, json, htmlparser, invoke, os, path, path.py, zmq, lxml, fabric, fabric3"
deepset-ai/haystack,"fastapi, Flask, flask"
plotly/plotly.py,"pytest, requests, tenacity, json, nose, json, retrying, requests"
RaRe-Technologies/gensim,"unittest, pandas, pyro4, unittest2, nose, functools, pyro"
KeepSafe/aiohttp,"pytest, pathlib, dataclasses, async-timeout, async_timeout, unittest, os, attr, attrs, async"
pyecharts/pyecharts,"simplejson, mbed-host-tests, test, json, unittest"
networkx/networkx,"pytest, pydot, pydot2, nose, pydotplus"
ansible/awx,"cryptography, unittest2, oauth2, python-oauth2, requests-oauth2, social-auth-core, pycryptodome, unittest, oauth, python-social-auth, social"
flairNLP/flair,"pytest, transformers, unittest, pytorch-transformers"
dataversioncontrol/dvc,"pyyaml, pytest, json, json, unittest, pyyaml"
CoreSecurity/impacket,"pycryptodomex, httplib, pycryptodome, requests"
wkentaro/labelme,"qtpy, python-qt5"
edgedb/edgedb,"pytest, click, py, py.test, argparse"
scipy/scipy,"numpy, pytest, scipy, nose"
beetbox/beets,"six, unittest, urllib, htmlparser, form"
mwaskom/seaborn,"pytest, nose, pandas"
python-pillow/Pillow,"pytest, pathlib2, unittest, pathlib"
pytube/pytube,"nose, unittest"
pytest-dev/pytest,"pytest, pathlib, py, py.test"
pyinstaller/pyinstaller,"unittest2, unittest"
apache/incubator-tvm,"decorator, functools"
microsoft/playwright-python,"pytest, unittest, mbed-host-tests"
NVIDIA/NeMo,"transformers, ruamel.yaml, ruamel.yaml.clib, ruamel.base, ruamel.ordereddict, pytorch-transformers, pyyaml"
dagster-io/dagster,"pytest, notifications-python-client"
laramies/theHarvester,"aiohttp, requests, grequests, requests, grequests"
borgbackup/borg,"guzzle_sphinx_theme, sphinx-rtd-theme, sphinx_rtd_theme"
